Recent Time,Number of Touches,Minimum Time,Maximum Time,Average Time
3.16,1,3.16,3.16,3.16
0.95,2,0.95,3.16,2.055
0.86,3,0.86,3.16,1.656667
0.76,4,0.76,3.16,1.4325
1.34,5,0.76,3.16,1.414
1.82,6,0.76,3.16,1.481667
0.54,7,0.54,3.16,1.347143
2.22,8,0.54,3.16,1.45625
2.37,9,0.54,3.16,1.557778
