Recent Time,Number of Touches,Minimum Time,Maximum Time,Average Time
5.88,1,5.88,5.88,5.88
2.74,2,2.74,5.88,4.31
5.69,3,2.74,5.88,4.77
6.38,4,2.74,6.38,5.1725
17.91,5,2.74,17.91,7.72
1.64,6,1.64,17.91,6.706666
1.59,7,1.59,17.91,5.975714
1.32,8,1.32,17.91,5.39375
2.76,9,1.32,17.91,5.10111
3.64,10,1.32,17.91,4.954999
2.19,11,1.32,17.91,4.703636
1.85,12,1.32,17.91,4.465833
5.92,13,1.32,17.91,4.577692
3.64,14,1.32,17.91,4.510714
