Recent Time,Number of Touches,Minimum Time,Maximum Time,Average Time
3.91,1,3.91,3.91,3.91
2.10,2,2.1,3.91,3.005
0.66,3,0.66,3.91,2.223333
0.28,4,0.28,3.91,1.7375
0.87,5,0.28,3.91,1.564
