X,Y,Z
-174.8585,460.3504,179.9681
128.654,329.8869,79.93053
-179.6151,475.3137,180.4415
129.3282,333.5058,77.50743
-180.9101,476.3644,180.8275
129.3369,333.6299,77.04753
-182.3897,477.8064,182.7787
129.2664,334.1131,76.12811
-185.0806,478.2943,184.3909
129.7473,335.1405,75.61168
-186.4388,478.3246,185.1994
129.7393,335.7855,75.14818
-185.9869,485.7008,185.8379
129.788,337.7006,73.93288
-185.8887,488.7677,184.7216
129.6209,338.0228,73.32557
-186.9639,500.189,181.2642
129.5853,340.2296,71.36394
-187.3934,502.7091,180.0416
129.4639,341.0288,70.60669
-187.897,507.74,178.8461
129.0352,341.9092,69.55336
-188.9846,513.058,176.5735
128.4971,342.4094,67.87032
-190.7917,519.0753,175.3329
128.5206,343.21,66.93636
-191.4208,522.3903,174.1007
128.3279,343.7959,66.25437
134.7774,346.2966,58.7908
134.1295,347.144,58.05025
134.6415,347.98,57.17345
134.9406,349.0869,57.35078
134.6826,349.7465,57.76388
134.3135,349.8195,58.28904
133.982,349.7929,58.66201
133.9247,349.751,58.86715
134.078,350.0335,59.26523
134.6273,350.4353,59.78582
135.3369,350.6088,60.77676
136.0943,351.0626,61.59249
136.5502,351.3835,62.14611
137.4875,352.0424,63.45421
137.8813,352.0865,64.14697
138.6881,351.853,66.29277
139.128,351.8367,68.72968
139.6058,352.2355,71.87861
140.586,353.5518,76.64627
140.586,353.5518,76.64627
141.7442,355.7802,82.27341
142.3204,356.9835,84.74438
142.7951,357.654,86.90225
143.7281,358.8418,90.69509
144.1147,359.705,92.33378
144.5319,360.7608,93.74193
144.8044,361.8369,94.76648
145.4118,363.6722,96.19333
145.9284,364.9077,96.66263
146.3829,366.2165,96.6953
147.1216,368.8656,95.48611
147.3617,370.2552,94.14757
147.9948,372.1277,91.77914
148.1856,375.0428,83.63856
148.7509,376.5652,78.81181
148.9333,377.8978,73.48326
149.8661,379.8313,62.27999
150.2801,380.7326,56.33307
150.9051,382.4758,45.9721
150.9051,382.4758,45.9721
151.3206,384.476,34.38033
151.0657,384.772,30.35682
151.7531,385.4641,24.86363
151.6543,388.5903,16.63146
152.0155,389.6823,15.39911
154.2028,392.8473,3.089085
153.8414,393.1054,-1.486832
155.8551,393.3785,-12.01733
156.2867,393.9152,-24.1168
158.0732,392.9631,-41.7604
159.1801,393.8212,-63.3745
162.2587,391.051,-94.17362
162.8575,391.815,-121.1837
163.8321,392.1591,-138.7009
164.4369,391.9862,-153.4553
167.9265,392.9451,-175.3525
167.4381,391.5283,-179.5803
167.3343,390.5644,-183.8123
168.0923,396.3385,-219.1893
167.2764,396.0879,-222.0238
167.2764,396.0879,-222.0238
167.7856,400.7766,-228.1038
165.6036,407.2816,-229.4914
164.7852,408.1423,-228.7463
159.2284,414.7639,-220.4862
157.8779,415.6454,-218.0171
153.8485,417.0092,-207.9353
149.8681,417.3979,-198.3661
146.74,419.7796,-190.1906
141.97,422.3084,-173.5123
140.2981,424.1102,-167.9077
136.9031,424.9124,-151.6716
135.1847,428.7332,-135.9747
133.0423,429.4199,-113.9827
131.687,433.1446,-101.9939
132.3942,430.9335,-90.81173
132.0762,431.312,-78.21198
131.0907,431.3704,-66.97938
131.0907,431.3704,-66.97938
131.0907,431.3704,-66.97938
134.1819,429.27,-33.25282
133.742,427.9451,-30.00154
135.2942,423.431,-4.459752
136.6299,421.4631,-0.3182467
136.7307,421.4141,4.891559
139.0474,420.6953,13.0139
139.549,420.6873,19.2036
141.0932,420.7817,24.99048
141.3254,420.4058,29.40307
142.3593,418.1042,33.15413
142.3593,418.1042,33.15413
146.1664,414.2257,46.70582
148.2135,411.4018,50.76445
149.5626,407.7558,53.76943
150.9365,407.0598,56.09921
152.3612,407.5007,57.83197
155.0743,404.5349,61.77098
155.8845,402.7402,62.7384
157.2522,399.4582,64.51339
157.3936,398.5162,64.79586
158.7413,396.1368,66.33791
159.3831,395.3306,66.94477
161.9296,392.9328,69.35999
162.6385,391.9472,70.03719
166.842,388.5327,73.63562
167.8973,385.7726,75.19046
169.0717,384.3965,76.6475
171.2048,378.7611,81.13861
171.5474,374.6338,82.73087
171.8956,373.4975,83.88895
172.2128,372.1957,84.68745
171.4097,365.6137,86.12841
171.4097,365.6137,86.12841
170.591,360.8691,87.24149
169.6945,358.4989,87.23766
168.673,356.0005,87.46893
166.9678,353.226,87.3929
166.2271,352.615,87.53261
162.5934,348.7739,85.41954
160.515,347.6238,84.06727
159.9474,347.9104,83.45831
156.5285,346.8946,80.01664
156.5285,346.8946,80.01664
153.8719,347.4166,76.51542
151.5384,347.9543,72.39659
149.1459,348.0448,56.63186
145.3397,344.5673,44.55667
136.4483,339.7314,17.88722
134.437,336.4849,0.5109123
133.2406,331.8576,-17.58071
131.381,328.9616,-32.86663
