X,Y,Z
34.50571,273.8348,100.2431
44.36188,277.9173,103.3101
45.82307,278.5532,103.9544
48.45039,279.7343,105.3074
49.64587,280.2617,105.7121
51.69914,280.9517,106.4664
53.3932,282.059,107.6553
55.11428,283.2226,108.8267
57.09521,284.7375,110.3082
58.79994,285.5181,111.2381
60.29319,286.1009,112.0619
61.55937,287.363,113.639
63.34611,288.571,115.2601
64.86256,288.9944,116.039
66.36613,289.3839,116.9019
68.01367,290.3709,118.0582
69.56933,291.3867,119.7472
71.49682,291.9145,121.2273
73.10547,292.4765,122.6376
74.57949,293.3819,124.5153
75.49463,293.796,125.4024
77.46321,295.5561,127.8116
79.55654,296.9343,130.3049
81.89664,298.3363,132.9644
84.19292,299.3411,135.9944
87.01927,300.1813,139.2682
89.77849,301.1263,142.3905
92.93899,301.9959,145.6367
95.81439,302.3506,148.4928
98.65094,303.7054,151.4572
101.8449,305.0185,154.5388
104.4412,306.3972,157.5643
107.0457,307.0144,160.2484
109.6216,308.7304,163.2469
110.8134,309.7407,164.6124
113.4164,311.9265,167.4663
115.5387,313.2805,169.6909
117.4116,314.2197,172.1161
119.639,315.6249,174.2468
121.7305,316.3492,175.8217
123.2287,316.9429,177.4064
124.9754,317.6782,179.1561
127.0659,317.6825,180.8032
128.5936,317.4507,182.4372
130.7993,317.024,184.7005
148.7797,325.7199,184.8951
154.619,329.8029,189.7352
154.9034,330.3816,190.1206
153.1396,337.5072,191.1639
154.8421,342.6664,200.1942
157.4151,347.5334,209.7881
158.2121,351.5411,212.7837
160.3214,360.2639,215.2923
166.8643,371.1103,213.6633
175.8932,381.7058,205.3457
182.8257,393.2719,191.3338
184.0659,403.7363,183.9233
185.2062,406.8487,191.4868
186.5058,405.856,208.7643
184.6793,401.0676,221.3694
179.7194,393.1577,226.8102
177.0242,381.6057,229.87
172.7416,368.0165,232.0326
167.2772,353.941,232.8597
163.7948,345.0847,235.5465
161.2073,338.4627,238.166
159.1028,336.5892,238.3861
156.9492,342.2811,230.6192
154.3578,347.2198,220.4756
147.3049,345.3753,212.3713
134.0286,353.485,211.2386
118.1121,352.154,234.0219
126.0603,348.5829,234.6269
127.0399,350.5798,250.2702
135.694,349.0105,251.565
140.972,347.6104,253.3433
142.729,345.2737,253.8351
142.0225,343.4411,252.2268
142.0243,342.9948,247.5169
152.8711,344.9798,233.244
158.6854,346.0032,223.0173
175.8737,347.757,199.8406
