X,Y,Z
130.6919,359.3465,212.1479
131.703,359.847,212.437
131.6721,360.5632,212.2772
136.1696,359.2226,214.9337
137.2015,354.9664,217.4038
137.7121,349.9572,218.1938
136.6553,344.3675,219.012
136.1959,343.6748,220.4863
138.1126,349.3167,224.947
138.1997,358.8724,228.6834
137.9238,369.8479,228.0461
138.0487,373.7339,229.5173
138.7678,379.3991,236.9488
141.4847,376.7503,241.5598
142.5697,373.7023,243.4687
142.7179,370.1835,246.9307
143.8942,368.1227,250.832
145.6421,366.583,254.7929
145.3757,365.193,257.4768
145.2903,364.3264,260.1632
145.8511,363.9564,262.3974
145.9281,365.2554,265.4389
146.4945,368.0085,268.4506
147.1738,371.9132,270.7108
147.5309,377.2472,272.4449
147.8367,380.3186,273.412
148.7513,387.5586,275.6942
149.7542,395.0399,278.5712
151.2352,403.8751,282.8396
153.0773,413.9362,288.2203
155.0553,424.8019,294.1488
157.1729,437.0249,300.3129
159.294,449.3708,306.2035
161.4415,459.6461,311.927
162.9701,468.041,316.3298
164.2729,474.4777,318.8868
164.8377,480.2529,320.0932
165.04,485.07,320.0996
164.6204,489.3044,319.3699
163.6608,493.0615,318.1765
161.9225,496.0211,315.9016
159.3701,498.2566,312.9847
156.2957,500.4659,309.6419
154.6996,500.9847,307.7068
150.6853,501.3216,302.8851
145.8316,498.9635,298.0317
140.0772,497.6982,292.6412
134.547,495.8254,285.9559
126.892,490.6571,274.2227
-272.6786,373.5874,154.2691
124.5,488.2994,270.2391
-272.6042,374.7164,155.361
119.7223,483.0764,261.2061
-275.1953,383.5548,159.9013
115.2423,477.2258,252.4019
-281.2938,392.409,164.0235
110.6929,471.9993,242.7036
-288.0839,400.5392,167.5396
106.0293,465.3054,232.8275
-295.2621,408.2712,170.9829
101.0146,458.093,222.4774
-302.3344,415.4478,174.2977
97.49483,450.1815,212.6847
-309.1348,421.4728,176.7991
93.81734,442.8718,202.4811
-315.4954,426.9488,178.8407
89.48711,434.7613,191.7083
-320.2769,431.491,180.341
85.60892,427.5042,181.7115
-325.133,434.7947,181.6929
82.04579,421.0005,171.6745
-330.1369,437.2089,182.3878
80.22661,417.4824,167.0684
-332.5977,438.1892,182.5682
76.39302,410.4914,157.5827
-337.4314,439.5256,183.0451
67.88917,396.1494,142.1249
-342.5082,439.9731,183.3173
59.38457,392.4493,129.5292
-341.4072,440.8244,184.8314
51.16491,387.1034,118.5356
-339.8131,440.7198,183.5895
45.02407,387.2864,110.737
-337.9399,440.9924,181.123
40.5965,390.4846,104.931
-337.3275,439.963,180.5632
37.59094,395.737,101.8659
-335.842,438.2165,179.7151
34.41033,401.3304,99.61311
-334.0448,435.4598,178.4751
32.91687,410.0642,98.43999
-331.295,432.0844,176.5016
32.65485,414.356,98.31873
-329.7001,430.0949,175.4188
32.4711,424.0323,98.56211
-326.3767,426.0319,172.7776
33.09887,434.5301,98.90594
-323.0466,422.2312,169.8102
33.3939,443.0926,99.27229
-319.6046,418.0707,166.1093
33.66565,449.4655,99.54964
-315.5643,413.1235,161.8852
33.78925,454.6367,100.1017
-310.9081,407.6918,157.4695
32.45323,458.1625,99.05701
-308.0347,403.8937,152.7763
31.42496,460.2763,97.76807
-305.3942,401.3777,148.9058
31.13384,461.0992,97.15081
-303.7587,399.3862,146.1095
30.52862,462.412,95.39397
-299.3431,393.44,137.5935
29.63334,461.5599,92.88675
-296.542,387.3085,130.3531
29.37624,460.6204,92.05687
-298.1012,386.1751,127.2275
28.72748,457.881,89.39024
-301.873,386.4702,132.3614
29.59216,458.726,88.83974
-300.5477,384.6896,132.4096
30.26146,459.0511,88.01939
-300.2004,384.7609,131.8278
30.80073,460.6683,85.3779
-298.9518,385.866,128.8248
39.48027,456.479,79.37414
-299.5112,387.1297,126.1491
40.94309,449.9411,74.35167
-300.1447,389.119,123.4288
41.06011,443.2963,72.03806
-301.6329,391.1282,121.2414
39.9553,435.5,66.97687
-303.1699,392.9196,118.4491
39.02247,427.3336,62.26522
-304.7428,395.3466,115.4924
38.09522,419.5459,57.0312
-306.1856,396.702,111.6186
36.73973,413.7348,50.86765
-307.4038,397.7105,107.9881
37.54916,402.7278,47.65585
-308.8544,399.9651,105.2951
37.91343,397.1021,46.14417
-309.5943,400.5397,103.3898
38.26386,390.4068,43.41228
-310.3802,400.8239,101.3578
40.03772,369.0801,35.61877
-312.3136,401.3124,95.28565
40.59786,345.7556,31.79773
-313.4279,401.0401,88.84821
42.49864,330.0594,32.35379
-313.4331,399.9426,84.23875
43.34961,308.2331,29.8405
-313.4252,398.4332,79.25492
43.14302,292.3079,26.33138
-313.8446,398.0934,76.34695
39.15799,250.3847,14.36255
-313.4489,396.5283,70.51137
40.73314,247.1697,13.74248
-312.9812,394.0522,65.40121
41.28652,245.936,12.29
-311.9611,391.4319,60.15253
43.18577,244.2019,10.22351
-310.9951,387.2906,51.46617
43.61315,243.0846,8.386309
-310.6005,385.3328,47.63066
43.94483,242.8201,7.961204
-310.0236,384.2375,45.50123
44.41493,241.5541,6.640809
-309.5372,382.821,41.87745
44.97682,240.7989,5.777275
-308.4264,381.3627,38.85331
45.5339,240.0199,5.168362
-307.4138,380.0544,36.40169
45.93955,239.2213,4.766654
-306.3864,379.2713,35.02059
46.3581,238.9895,4.562681
-305.5924,378.7906,34.32885
46.48512,238.9114,4.550463
-304.8646,378.7454,33.71212
46.72223,239.0583,4.783045
-304.0365,378.8885,33.2361
46.76025,239.0437,5.189247
-303.4874,379.3115,33.1683
46.87399,239.4479,5.892199
-305.6081,381.4216,33.67472
47.12535,240.1761,6.788997
-306.8004,383.8265,34.53126
46.90373,240.7979,7.536524
-307.8766,386.1509,35.35545
46.856,241.5873,8.351439
-309.7507,388.924,36.05161
46.74274,241.9646,8.723052
-310.5696,390.0775,36.09283
46.36027,242.598,9.553821
-312.747,393.2256,36.55264
45.80964,243.3306,10.7783
-316.2597,397.9528,37.06255
45.52391,243.5479,11.10355
-316.9932,398.6793,37.28699
53.53597,246.6467,12.49096
52.16597,247.6246,11.3917
51.4264,247.319,11.68275
-172.1112,227.3243,-3.923036
50.12931,247.5876,12.79717
-171.3636,241.2333,-9.978024
49.80826,248.0765,13.22119
-171.6654,241.1283,-10.77933
49.57213,248.5739,13.77296
-171.9233,240.5376,-11.64956
49.23807,248.7116,14.32231
-172.1608,239.6726,-12.57528
48.97115,248.5721,14.82919
-172.5696,238.9477,-13.53404
48.89365,248.6694,15.33716
-173.1856,238.6105,-14.7232
48.93945,248.8884,16.02317
-173.6257,237.9596,-16.30721
49.11769,249.3629,16.75756
-173.5803,236.4609,-18.25237
49.29819,250.0451,17.84924
-174.0481,234.9515,-20.67793
49.59833,250.5098,19.15696
-174.7748,232.9476,-24.78588
49.78505,250.8092,20.11462
-175.5398,231.3016,-27.52913
50.09924,251.5104,21.16157
-176.4127,229.6999,-30.65555
50.35526,251.8747,22.16915
-177.0192,227.4981,-33.88383
50.65832,252.1856,23.32219
-178.3087,226.4819,-37.10135
51.05229,252.7472,24.87883
-178.5441,224.1179,-40.54421
51.36114,253.3135,26.75353
-179.1059,222.2384,-43.68809
51.54514,253.824,29.07731
-179.5897,220.2584,-46.59357
51.61405,254.6561,31.7242
-180.3677,218.8941,-50.0004
51.66427,255.209,33.16735
-181.0206,218.45,-51.46818
51.75381,256.3575,35.98928
-181.8133,217.0262,-54.25655
51.92872,257.0616,37.47186
-181.8383,216.0579,-55.64717
52.08675,258.3094,41.28655
-183.4666,214.7272,-59.46771
52.63051,259.4513,44.53839
-183.958,212.9214,-62.19009
52.94619,260.1149,47.59888
-185.0912,211.8636,-64.77863
53.08415,260.3397,49.07676
-185.5642,211.3372,-66.12253
53.4095,261.2715,53.41586
-186.0043,208.8663,-69.95276
53.68541,262.054,56.32668
-186.9866,207.8665,-72.17191
53.98912,262.6632,59.24169
-187.431,206.3237,-74.12301
54.19498,263.1883,62.0287
-188.0221,205.012,-75.75343
54.37054,263.5938,64.72591
-188.8196,204.0643,-76.99031
54.62117,263.9703,67.29556
-189.2668,203.2392,-78.15576
55.01415,264.4325,69.34947
-189.4632,202.5914,-78.59264
55.79945,265.2401,71.17965
-189.8817,202.696,-78.54901
56.2979,265.5184,71.96056
-190.038,202.8737,-78.46413
57.4127,265.774,73.46797
-190.3141,203.4933,-78.33067
58.53038,265.7213,74.27818
-190.066,204.4461,-77.7756
60.09808,266.2284,74.64469
-190.0661,206.3661,-76.54169
61.94069,265.6909,74.4544
-189.4882,208.1718,-74.8448
64.02861,265.6646,73.4164
-188.9847,210.3196,-72.62388
66.19946,264.9747,71.44236
-188.6786,212.8526,-70.05685
68.94881,264.6285,68.80019
-188.3556,215.5728,-67.22623
72.02299,264.9056,65.3323
-188.2258,218.5257,-63.50261
73.55856,265.0136,63.20325
-188.1482,220.1919,-61.91688
78.42163,264.812,55.76584
-187.2892,224.795,-56.18004
81.60937,263.9956,50.05446
-186.5323,227.534,-52.05069
84.55361,262.901,44.14383
-186.2101,230.7221,-47.19813
87.16887,262.1117,38.07332
-185.1005,232.7214,-41.8648
89.48904,261.7938,32.62096
