X,Y,Z
-1.750657,254.2796,274.5667
-2.216699,252.1206,273.438
-2.198942,250.9407,272.8496
-2.229734,248.7687,272.7258
-2.307744,247.1748,273.407
-2.400563,245.4095,273.4752
-2.464224,242.5187,273.1053
-2.521014,239.2316,273.2087
-2.413994,233.3505,271.2272
-1.909761,225.0604,269.0533
-1.598708,219.3809,267.0875
1.114392,209.0729,263.3402
1.574767,195.0038,259.8123
5.93424,181.2496,254.1918
12.10199,156.7592,245.3982
16.86896,135.327,239.0778
124.1881,183.6833,69.0956
121.8529,187.9469,51.77655
121.1965,189.8934,46.52895
120.4286,194.409,37.44717
120.1722,197.3841,29.34157
118.5064,197.9424,22.27044
117.229,197.9112,18.90797
115.5632,196.2233,12.22889
112.6796,192.6498,6.793786
109.3257,187.2119,2.325177
105.473,180.9336,-0.10792
101.6265,173.481,-1.524955
97.46213,166.3004,-1.794276
-156.2133,131.3322,116.1452
91.75892,158.9226,-4.026784
-129.9472,106.4382,99.45286
90.26308,156.9805,-4.913431
-131.345,108.8199,101.4733
87.3561,154.0938,-5.677
-132.0351,116.4517,102.9991
86.35197,152.7825,-5.207111
-130.2998,121.5153,102.7127
85.72008,153.4426,-2.897966
-130.8373,126.8454,103.918
85.08929,154.1466,-1.859428
-130.5468,128.9624,103.8193
83.21006,154.46,0.6419723
-125.4649,130.7169,99.0586
80.28432,153.2711,4.697916
-117.4711,126.4163,90.95294
76.02048,148.5441,10.59381
-106.7083,123.7237,86.47758
72.73556,143.5522,15.92983
-111.6821,127.5616,92.2621
73.49857,133.6619,25.48415
-116.2176,131.039,95.90346
75.15816,128.0568,32.71172
-119.4437,131.5408,98.23452
77.86608,125.4814,37.93878
-119.8892,131.4662,98.4488
80.51757,129.0822,41.58176
-122.9948,132.364,97.92579
87.54093,136.6107,45.24086
-127.059,136.0123,88.84284
89.43539,139.1382,45.64384
-128.7708,136.7962,82.82137
93.85696,143.1313,45.03433
-129.718,136.1545,66.81878
97.964,147.7163,44.51295
-131.373,130.0379,56.98008
102.2269,153.0863,45.28951
-135.6657,126.2365,52.77842
106.5124,162.786,42.40072
-142.3652,120.4528,52.73328
107.2818,176.0779,38.92038
-144.9543,114.1494,49.92847
104.8174,189.9844,35.39101
-143.8264,106.7155,43.7902
101.0746,205.9543,33.44471
-140.6562,99.23407,37.57867
95.73551,218.9771,31.54041
-138.0811,92.35133,32.68807
94.7534,226.0746,31.06882
-133.7828,84.92031,30.24231
95.52705,240.2323,36.04937
-132.6536,81.20497,30.14675
96.86403,252.3439,38.43377
-135.071,80.35132,31.15388
95.47165,268.4666,32.04885
-138.4124,81.22311,33.33433
95.85897,277.628,26.485
-143.5256,83.24829,34.86071
97.62702,284.2471,21.6327
-145.6863,84.95731,36.64538
99.1646,285.6019,20.00099
-146.113,85.94894,37.64623
99.51578,286.5262,14.40148
-146.4091,88.05495,39.83958
101.2321,288.5063,7.211102
-135.312,85.26865,34.82702
102.2732,289.7005,0.2003337
-128.2198,85.50922,32.3861
-129.6384,90.26645,35.79831
-128.605,103.1164,39.25714
-128.4654,112.7889,42.61962
43.40987,188.6286,-44.46694
-128.9377,121.6903,48.08963
42.06472,206.4002,-48.03674
-129.7794,130.5555,53.97067
32.82774,198.7977,-54.2178
-129.3122,138.1081,60.05898
26.08019,185.2255,-57.41185
-129.8792,146.9663,64.34119
-131.0061,154.3514,67.20885
-129.7168,162.5432,71.79705
-128.9432,170.5871,77.75837
