X,Y,Z
6.822888,155.243,-117.1032
6.056169,154.8283,-117.1082
5.6926,154.5747,-117.0718
5.101674,154.0367,-116.9792
4.518469,153.4609,-116.9207
4.208297,153.1187,-116.8506
3.602508,152.4821,-116.6353
2.989286,151.7744,-116.2836
2.420842,151.0077,-115.8227
2.092493,150.1707,-115.4306
1.574577,149.4523,-115.2156
1.234382,148.6165,-114.6375
0.9671172,147.3522,-113.8003
0.5023623,146.1168,-113.1317
0.07179853,144.5987,-112.2866
-0.8681107,143.1775,-111.5345
-1.76516,141.442,-110.725
-3.137061,140.5593,-109.9427
-4.136953,140.1723,-109.6385
-4.879384,140.2301,-109.8812
-5.431908,140.7962,-110.4732
-5.834216,141.7408,-111.3085
-6.250824,142.7978,-112.33
-6.42709,143.2915,-112.9191
-6.874594,144.3075,-113.9959
-7.19834,145.1396,-115.0428
-7.338861,145.7679,-115.8981
-7.40848,146.3386,-116.6466
-7.326501,146.9861,-117.6652
-7.629744,147.4153,-119.2883
-8.487144,147.2311,-121.3177
-9.563137,146.8657,-123.5152
-10.62765,145.8308,-125.5879
-11.19213,145.0769,-126.6611
-14.46112,141.9064,-125.3737
-12.85942,142.5425,-124.3714
-10.45161,144.3699,-122.8173
-7.039315,147.6194,-120.0785
-4.069287,150.9746,-118.0895
-4.326849,152.6436,-117.6686
