X,Y,Z
171.1124,431.6138,482.3178
169.0479,439.5147,461.7958
168.3546,443.3737,457.551
164.4676,451.0866,452.8708
159.3186,456.6354,450.0901
152.1731,464.1086,448.3797
143.2839,467.8629,440.9051
135.0043,468.6499,431.2101
126.0824,465.0253,424.463
114.7553,454.2496,409.6418
107.8681,450.3185,389.766
108.5727,455.0278,371.636
106.5997,461.2573,354.769
100.4772,462.4667,344.0981
86.551,457.4655,324.1866
72.45653,452.1577,305.8667
63.08568,447.602,292.4257
50.41064,440.937,272.6245
42.63497,439.1149,259.534
33.904,441.4084,239.2736
23.84527,429.2108,210.8498
15.12159,413.0271,180.7326
10.42802,405.136,162.4455
2.543716,381.8196,123.1159
-1.826956,370.9706,104.0402
-8.992852,342.5977,63.52909
-16.76657,317.1661,36.14529
-22.06819,295.2959,17.88834
-32.23746,261.3217,-4.873761
-40.50696,226.7796,-26.09744
-46.7046,194.219,-42.67266
-51.18725,173.0387,-50.76254
-57.01773,145.615,-61.97123
-61.47063,123.1766,-73.23604
-66.41441,108.4935,-80.77525
-70.77346,99.95683,-84.66815
-79.16662,88.67116,-91.1609
-85.72132,81.08396,-97.59743
-89.66956,75.99681,-111.793
-72.69643,63.73349,-94.68632
-72.05937,55.20012,-93.32062
206.1463,131.5911,63.82204
187.3238,115.9003,55.57999
147.1727,84.28899,44.41969
140.2944,73.76186,43.68126
145.019,73.88132,44.90536
149.7628,78.11295,44.0416
155.442,84.69809,46.14554
170.1734,95.6868,53.22091
172.3572,105.1483,56.34125
170.0258,108.3373,58.82915
168.3034,110.812,62.5952
169.2769,112.2697,64.32461
167.3423,113.7088,66.58933
165.5811,115.1329,69.19024
165.3944,117.105,71.54093
165.5106,121.7102,76.71276
164.1715,122.6669,78.58324
163.4233,124.0563,80.47144
163.5924,125.5886,82.88466
163.4342,126.7879,85.46509
163.9259,128.3676,88.18691
164.4847,129.9105,90.33266
164.7642,130.781,92.06925
165.3116,131.8185,93.68919
165.8697,132.7914,94.95511
166.2731,133.3037,95.44511
167.5028,134.4415,96.4991
168.1219,135.0128,96.73724
168.6828,135.5019,96.41837
169.5143,135.9602,95.8414
170.8993,136.6279,95.19102
171.4301,136.4727,93.79683
171.4745,135.9112,92.30223
171.1621,135.2587,90.81358
170.6484,134.6521,89.61885
170.0378,134.2294,88.71487
169.393,134.0177,88.07908
168.9322,134.2137,87.62737
168.6795,134.8368,87.32375
168.6083,135.6886,87.18426
168.5937,136.1234,87.15529
168.5155,136.8973,87.15492
168.4396,137.6108,87.09434
168.8237,138.571,87.18934
169.2314,139.5781,87.24101
169.5119,140.5462,87.29067
169.4171,141.1616,87.28602
169.3984,141.8277,87.33909
169.3685,142.6365,87.45337
169.2425,143.5184,87.65417
169.0088,144.3501,87.95022
168.1306,144.9404,87.89792
167.383,145.7253,87.9359
166.6413,146.3865,88.15186
165.8912,146.9304,88.45156
165.3605,147.5837,88.92191
165.2888,148.5942,89.63143
165.3255,149.718,90.25411
165.2453,150.6682,90.72557
165.1772,151.442,91.22519
165.0893,151.7531,91.48585
164.9312,152.4618,92.08395
164.4454,153.1257,92.90768
164.2867,153.1571,93.1718
163.957,153.0479,93.57494
163.5911,152.6241,93.75501
163.3728,152.1589,93.76998
163.2493,151.7518,93.70251
163.1811,151.3595,93.47912
163.1725,150.9453,93.24686
163.0962,150.3997,92.99674
163.002,149.8819,92.83435
162.9324,149.3584,92.74625
162.7951,148.8826,92.7235
162.6252,148.411,92.72798
162.5461,148.1241,92.75624
162.5044,147.9032,92.76683
162.5671,147.7993,92.85583
162.6323,147.7137,92.8669
162.6883,147.6531,92.86945
162.8082,147.7109,92.90347
162.8706,147.736,92.88271
162.9892,147.8384,92.91106
163.1977,148.0287,92.94888
163.3438,148.2169,92.96243
163.4894,148.4185,92.95898
163.6203,148.6509,92.9176
163.8293,148.9073,92.91833
164.041,149.1935,92.93998
164.1998,149.3773,92.96423
164.3504,149.5315,92.97863
164.4761,149.7287,93.00111
164.5626,149.8985,93.00906
164.5884,150.0445,92.99139
164.6359,150.202,92.98284
164.6896,150.3149,92.99782
164.7121,150.3831,92.98682
164.8058,150.5307,93.04247
164.9433,150.7426,93.10567
165.0729,150.951,93.19228
165.1431,151.0517,93.2161
165.2464,151.1748,93.2086
165.2859,151.2333,93.18194
165.3493,151.2712,93.18025
165.4456,151.3111,93.15545
165.529,151.3114,93.12156
165.6456,151.3394,93.11777
165.7982,151.4169,93.13237
165.9802,151.5311,93.1379
166.1882,151.7307,93.15951
166.3208,151.7978,93.20536
166.3669,151.8483,93.21629
166.4344,151.9302,93.2387
166.4166,151.936,93.27563
166.3233,151.9218,93.26582
166.2287,151.9588,93.31893
166.0883,151.9154,93.33388
165.9107,151.8443,93.33944
165.7225,151.7632,93.29324
165.584,151.716,93.22251
165.5185,151.6847,93.19865
165.516,151.6866,93.18198
165.4249,151.6168,93.12215
165.4251,151.6257,93.03275
165.4473,151.6421,93.0015
165.4059,151.635,92.88487
165.3971,151.6631,92.78362
165.3979,151.6831,92.7041
165.4168,151.6868,92.64124
165.4665,151.7051,92.59637
165.4828,151.6989,92.53327
165.5332,151.7307,92.35977
165.6259,151.7593,92.15324
165.72,151.8509,91.94415
165.819,151.982,91.73863
165.9364,152.0508,91.49944
165.921,152.094,91.21032
165.8276,152.0763,90.83604
165.7683,152.0329,90.51112
165.8232,152.1713,90.13577
165.8947,152.3475,89.63297
166.0338,152.5676,89.00017
166.2274,152.7478,88.21834
166.4449,152.8515,87.32381
166.4832,152.8448,86.24789
166.4948,152.9235,85.1767
166.6485,153.3211,84.268
166.6051,153.8254,83.23631
166.5267,154.5376,82.21235
166.4696,154.8884,81.70399
166.518,156.0365,80.69445
166.7774,157.5517,79.75649
167.1767,159.4444,78.87694
167.6225,161.6507,77.98601
168.2855,164.6503,76.88899
169.1096,168.0108,75.58122
170.3523,171.3683,74.51568
171.8099,174.6889,73.53037
173.0403,178.3658,72.14101
174.6772,182.2401,71.05981
176.3972,186.0291,70.23864
178.3454,189.605,69.8856
180.0914,192.9909,69.7324
181.3818,196.0443,69.52676
182.2575,198.7094,69.40947
183.1027,201.3417,69.53805
183.8416,203.9233,69.95368
184.3274,205.4202,70.33113
185.1496,208.479,71.24153
185.9569,211.6881,72.47591
187.0642,215.2972,74.04664
187.034,218.0422,75.3206
187.1801,220.8854,76.92088
187.8011,224.2226,79.01391
188.3623,227.5991,81.16382
189.5537,231.1441,83.66889
191.1838,234.9454,86.33701
191.7253,238.2056,88.49754
192.4715,241.6213,90.90716
192.5909,244.2891,92.82937
193.4283,247.6004,95.18723
194.8966,251.5414,97.75562
195.5132,254.4892,99.41067
196.0931,257.3274,100.7197
196.5994,258.9568,101.4015
197.5694,262.0603,102.4705
198.7712,265.3547,103.2319
200.214,268.6618,103.6816
201.3289,271.252,103.6582
202.5854,273.7516,103.275
204.447,277.1618,102.6223
205.4906,279.5424,101.1273
205.6678,280.6245,98.97159
205.5731,281.0204,96.52613
205.057,280.7989,93.77401
205.1235,281.0788,92.44514
204.7044,280.9479,87.63283
204.6833,280.4142,83.95241
204.1477,279.4367,79.22161
203.7557,278.7587,76.48475
202.6184,277.013,70.58908
201.5773,276.2003,63.66301
200.2486,274.7681,55.92237
198.3191,273.1644,47.21805
195.8745,271.2851,37.68571
193.3206,269.9571,27.18314
191.2015,268.3442,15.70555
188.7257,265.7113,3.053711
186.3161,263.268,-10.76309
183.4682,260.2841,-26.03569
180.4444,254.7796,-41.38558
180.0705,251.2318,-57.42165
179.8937,247.4804,-73.94411
179.678,243.0351,-90.06725
179.5168,234.5491,-103.9307
181.8259,229.3889,-117.723
183.4571,227.7726,-124.4591
187.8582,225.582,-136.4355
190.9626,221.2723,-142.1804
192.1556,217.1985,-144.3895
192.8323,215.7619,-146.1734
194.5562,216.6811,-147.8678
196.3618,218.9534,-149.6945
197.8365,221.5435,-151.1434
198.4556,222.8433,-151.3079
198.3536,223.3922,-151.1276
198.7746,223.9895,-150.215
199.302,224.5603,-148.6989
199.5014,224.2718,-146.0309
199.2853,224.0976,-143.7316
199.8445,225.2227,-141.2783
200.1268,225.8358,-139.837
201.0095,228.5368,-134.1304
201.4075,229.4523,-131.8314
202.0784,231.4536,-126.8605
