X,Y,Z
-309.8504,359.1072,512.0213
-315.4851,364.5814,521.5284
-316.6487,365.6634,523.4955
-317.9599,366.6243,525.4746
-319.3627,367.3727,527.8675
-320.698,367.8663,530.1151
-321.9966,368.3399,532.1293
-322.8259,368.6412,533.1141
-324.4909,369.2209,534.8923
-325.7477,369.6266,536.6606
-326.3832,369.6328,537.6313
-327.6235,369.9453,539.124
-328.4301,370.215,540.4431
-328.5029,370.372,541.3503
-328.6123,370.5788,542.0262
-329.0966,370.7259,542.4969
-329.296,370.9099,543.2087
-329.201,371.135,543.7947
-329.2725,371.1648,544.153
-329.6937,370.7494,544.4225
-330.2983,370.1349,544.488
-475.2864,392.293,483.2278
-472.3741,399.348,479.7409
-469.6648,401.7349,480.48
-468.5804,404.1463,481.194
-468.5367,404.0206,481.4581
-467.9802,405.1903,481.9904
-466.9403,405.037,482.7106
-466.7323,405.1681,482.8416
-466.7732,405.6598,483.494
-466.7741,406.2675,484.2727
-466.8785,407.0072,484.7149
-466.6797,407.5371,485.8873
-468.2474,407.4257,485.542
-468.4554,407.0372,485.4608
-468.955,406.5382,484.3489
-468.0027,406.1094,483.4159
-466.6791,404.1656,481.5067
-465.3941,402.4655,480.1817
-463.84,401.1791,479.4223
-461.1706,400.4757,480.8258
-460.0182,400.1566,481.1448
-459.044,401.2914,481.4171
-458.4506,401.7404,481.0865
-458.4574,401.2146,479.895
-458.2458,401.6805,479.9372
-458.0281,401.5504,479.5473
-457.4598,401.6492,479.4588
-456.9508,401.7118,478.9329
-456.5952,402.0903,479.2437
-455.9839,402.2411,479.5851
-455.0138,402.4192,479.7214
-454.1542,402.9795,480.2712
-453.5774,403.7825,480.8963
-453.6231,404.3448,480.8318
-453.6879,405.1272,480.6257
-453.7688,405.8294,480.8001
-453.7874,406.0902,480.9997
-453.8611,406.6312,481.2598
-453.9266,407.2697,481.495
-454.0782,407.8755,481.791
-454.7622,408.8336,481.3371
-455.0688,408.7825,481.1479
-455.1267,408.8995,481.0425
-455.1464,408.6611,481.5034
-455.4875,408.3178,481.9694
-455.9,408.1279,482.2746
-456.4824,407.9661,482.338
-457.054,407.8505,482.3225
-457.7415,407.9965,482.3917
-458.0143,408.1331,482.489
-458.507,408.6,482.6274
-459.3579,409.0222,482.7473
-460.0564,409.0801,482.8306
-460.5173,409.1538,483.0036
-460.6342,409.1328,483.3794
-460.6887,409.1818,483.4795
-460.5114,409.1453,483.7008
-460.3696,409.167,483.7038
-460.0391,409.2373,483.7234
-459.4272,409.1441,483.8419
-458.3001,409.7904,484.3557
-458.025,409.998,484.5536
-457.5296,410.4538,485.1337
-457.2569,410.7063,485.5621
-456.9259,411.4466,486.4556
-457.416,412.2991,487.0975
-457.8647,412.9195,487.4249
-458.3016,413.2991,487.865
-458.5489,413.4834,488.0475
-459.2188,414.0387,488.9022
-459.6699,414.3446,488.9839
-460.4804,414.8707,489.0086
-460.8629,415.2523,489.15
-461.6541,415.8711,489.4982
-462.8974,416.7812,490.3779
-463.8485,417.7639,490.8643
-464.8475,418.4644,491.6497
-465.748,419.3198,492.5371
-466.2975,419.6884,492.8979
-467.4232,420.3356,493.9444
-469.3664,421.5718,495.643
-471.3214,423.7255,497.4472
-472.4831,425.3558,499.2348
-473.5841,427.1891,500.6229
-474.4177,428.7037,502.2657
-475.6614,429.8251,504.0651
-477.0976,431.3557,505.6882
-478.6089,432.7373,507.0669
-478.6089,432.7373,507.0669
-480.1678,434.4278,508.2425
-482.6885,436.2931,510.8643
-484.2556,438.0034,511.8113
-485.8317,439.3185,513.0333
-487.6277,440.234,514.3027
-489.2607,441.0527,515.5785
-489.6348,441.6882,516.346
-490.9634,442.9101,517.8542
-493.1572,445.7993,520.7901
-494.8515,446.6539,522.0889
-495.8481,446.5692,522.6714
-497.1332,447.3649,524.4821
-497.4929,447.6254,525.0067
-498.3175,448.4613,526.1851
-499.1132,449.1658,526.8577
-500.0472,449.7559,527.6866
-500.9024,450.0209,527.8425
-501.4712,450.0699,527.7469
-501.8429,450.2181,528.1027
-502.3134,450.5273,528.8568
-502.3966,450.9281,529.444
-502.4135,451.1599,530.2574
-502.6835,451.628,530.8466
-502.5765,451.7725,531.1352
-501.5747,452.0941,532.5919
-502.4001,451.8761,532.4752
-502.9375,451.8587,532.6098
-503.3279,451.8396,533.0247
-503.3697,452.1243,533.4364
-503.509,452.2482,533.6122
-503.543,452.4375,534.0234
-503.7769,453.1148,534.8324
-503.9684,453.5034,535.7039
-504.2281,453.6014,536.1116
-504.0625,453.4231,537.1799
-503.9143,453.1623,537.7869
-503.2948,453.2168,538.5574
-502.0704,453.9973,539.8651
-500.1634,454.4958,542.1089
-498.6476,454.739,544.2213
-499.6671,457.2953,546.1605
-498.2266,458.142,547.0236
-494.6663,458.5336,550.5194
-492.5567,459.8681,553.0042
-490.8405,461.6287,555.3321
-493.0246,468.6349,551.3075
-486.9058,471.9733,552.5557
-483.7097,470.65,556.3297
-479.2389,469.6865,554.9583
-477.1429,467.9561,555.9551
-473.7779,466.6816,557.02
-468.2552,463.9888,557.1456
-463.0959,460.0111,556.3094
-459.5341,458.1407,554.7748
-455.9768,456.8886,552.6978
-451.6504,455.6387,550.766
-447.119,454.4348,549.8157
-442.4872,453.2316,548.0665
-438.9408,451.5737,546.3113
-437.1832,450.6644,545.1069
-433.8174,448.9703,542.5438
-431.3302,447.8094,543.015
-425.8848,442.9023,544.5968
-418.289,438.7429,547.1057
-415.3897,437.2948,548.0729
-414.1123,435.422,548.1559
-412.1657,434.2584,549.6689
-410.6609,434.3457,553.2783
-409.2683,432.567,557.4869
-407.9572,431.8721,560.095
-407.1322,431.7963,563.0626
-406.4672,433.7166,566.393
-406.2895,434.8378,569.5007
-406.1872,435.974,572.0751
-406.3004,437.1526,574.4041
-406.1075,438.397,576.4944
-406.0895,439.0729,579.2366
-406.7307,440.2451,582.3361
-407.321,441.4066,585.3521
-407.7567,442.2732,586.7389
-408.5133,443.9931,589.9389
-410.0639,444.7242,592.5097
-411.584,446.216,595.651
-412.2932,447.0331,597.3708
-412.9154,448.0821,598.9824
-415.4492,451.2827,604.0082
-418.2812,452.848,607.9634
-419.7291,453.8848,610.5959
-421.209,455.4512,612.9278
-423.0794,457.1449,615.2062
-424.774,458.3672,617.7476
-426.5617,458.4292,619.8931
-427.589,459.7143,621.9046
-428.8223,460.8339,623.7638
-430.1168,461.812,625.5847
-430.704,462.5004,626.4374
-431.41,463.1339,627.4609
-433.2539,464.9897,630.5809
-434.3958,465.978,632.6302
-435.2918,467.304,634.5294
-436.7626,468.6234,636.1667
-438.0183,469.541,637.7069
-439.0343,472.1555,639.6864
-439.9648,473.2056,641.7491
-440.7981,474.5519,643.9954
-442.1953,476.0929,645.7515
-442.7823,476.8586,646.704
-443.7297,478.2094,648.7861
-445.716,479.3942,650.0264
-448.5693,480.8781,651.9648
-449.9043,481.44,653.9161
-450.6241,482.3437,655.7711
-451.7183,483.3849,657.3738
-452.5442,484.1196,659.2545
-452.6208,484.4019,661.0969
-452.9725,484.5759,661.777
-453.3683,484.9505,662.5143
-454.5882,485.9118,664.2114
-456.4566,487.4352,666.592
-457.8543,488.3873,668.6436
-459.0708,489.7888,670.6427
-459.6009,490.3161,671.4581
-460.8968,491.4987,673.7841
-462.5337,492.2512,676.1071
-464.2699,492.6926,678.4835
-465.5131,493.231,680.6477
-466.7237,493.9352,682.8551
-467.5588,494.2739,684.1723
-467.9095,495.2269,685.5397
-468.608,495.3059,686.2596
-469.0205,500.399,686.0323
-472.9627,493.3077,688.3692
-473.6483,491.6671,683.6342
-473.4479,483.7656,668.1884
-470.4282,477.6117,657.5848
