X,Y,Z
126.9745,222.2057,94.65075
110.2076,250.7346,117.9542
110.2076,250.7346,117.9542
103.747,260.0278,129.016
96.22887,267.84,138.577
89.07138,271.8444,146.3226
82.54627,274.9529,152.2948
77.5181,278.2526,157.9551
72.742,280.7299,162.5777
68.76362,282.578,166.1553
65.33877,284.6573,169.4764
61.91657,286.9212,172.4301
59.16086,286.1577,173.1645
57.01588,285.1316,173.7708
56.80318,285.9679,174.8454
55.84967,286.0231,176.5262
55.95906,287.2874,178.4686
56.35134,288.2809,179.7046
56.67911,287.5535,179.4431
57.9278,287.1648,179.3176
60.17433,286.4776,178.457
61.52451,287.1264,178.4641
67.15601,288.9001,177.3712
71.74442,289.4654,175.0873
74.49682,290.0865,173.9002
84.35671,289.5643,168.1096
92.46008,287.8299,163.5059
101.0527,280.2777,156.8861
105.5328,275.8205,153.7537
119.5307,263.2399,146.6075
123.8708,257.9293,144.9997
131.838,245.1901,142.6604
136.8669,232.7042,140.3778
142.0521,221.2571,141.0855
146.9721,208.9588,145.4155
149.4798,201.5088,148.6266
153.0625,185.4308,155.5358
162.8348,157.022,172.7634
169.1147,141.7135,185.5291
175.95,127.119,198.5527
178.8123,113.8513,210.4388
180.4879,107.238,216.5911
30.96519,179.9229,146.7322
28.00448,180.1481,143.0612
25.75964,182.4862,138.5581
23.9944,184.4048,133.4676
22.60969,186.1493,129.8856
21.61004,187.5708,126.7302
20.76298,188.2665,123.2925
20.11905,188.6819,119.2855
20.07533,189.3704,116.147
20.00737,190.4084,112.4664
20.10219,190.9118,110.5288
20.13878,191.7968,105.9843
20.32099,193.4742,98.65712
20.42086,194.0034,96.17326
20.76855,194.9891,91.106
21.23031,196.0298,86.45921
21.66838,197.1032,82.57162
21.96138,197.8846,79.02955
22.46662,198.8553,76.31625
23.11673,199.4429,73.71328
24.0271,200.3761,71.49136
25.10286,200.8984,69.0084
26.21084,200.8986,66.01151
27.48496,201.5147,62.70983
29.0426,202.3669,59.2997
30.91385,202.1802,55.19384
33.04484,202.0755,50.06657
34.29937,202.7022,47.5788
36.94131,202.7125,41.49595
39.82581,203.0531,34.44474
42.82658,202.9639,26.68685
46.39012,203.0095,17.9915
49.92542,201.8384,8.627522
53.74197,200.8553,-1.71438
57.80931,200.4613,-12.40343
62.23894,199.1505,-24.17706
66.76588,197.3125,-36.04893
72.00128,195.7075,-48.59785
77.68832,195.0667,-62.4975
82.17992,191.9779,-74.48571
86.85207,189.4064,-87.03773
93.98352,183.2288,-103.9896
98.80447,178.9572,-115.0789
100.9728,177.0269,-120.2443
106.241,175.3986,-131.5809
110.0103,173.9155,-141.9032
111.7972,174.0592,-147.058
113.5588,173.3008,-153.3744
113.3762,173.3033,-157.6312
112.714,173.6764,-159.565
110.682,174.0936,-160.3687
108.0977,175.4353,-159.6433
104.7331,175.7469,-155.654
101.3505,175.5147,-149.4458
98.54657,175.7167,-141.6538
95.10418,175.9199,-134.3957
92.00157,177.4083,-126.9659
88.6919,178.6561,-119.0103
85.6528,180.2626,-110.2537
83.05631,183.1322,-100.5689
80.83434,186.0947,-90.43686
79.58456,190.8208,-82.14844
78.65114,192.2534,-77.82644
76.68729,193.501,-68.99036
76.01064,196.1255,-61.21183
75.80696,197.966,-54.41452
75.68465,198.1546,-47.99018
75.93409,196.9671,-41.75254
76.51476,195.9522,-36.61388
78.12392,195.001,-32.2077
79.91221,191.9712,-28.6534
81.78698,188.6337,-26.45094
82.99651,183.8407,-25.03777
85.25846,179.8872,-24.18104
86.50706,174.7623,-23.3975
89.19405,170.1121,-22.67529
93.34587,167.1573,-23.43947
98.21175,162.0004,-24.63531
101.5229,154.7572,-26.85259
104.002,151.519,-28.37284
109.4665,144.1058,-31.62621
113.6312,134.8972,-35.70331
116.8629,123.4152,-39.80218
112.4046,106.139,-41.83734
104.6758,89.91872,-42.73149
101.5023,78.07882,-43.3459
100.111,78.80715,-47.99924
100.7392,79.72508,-50.1225
101.4024,80.76856,-54.24213
104.3377,81.46397,-60.65902
106.7204,82.44607,-63.69608
104.1611,81.87861,-63.82203
94.13348,80.81189,-67.80344
82.63007,77.9669,-67.35729
75.68905,74.97076,-66.76977
75.62032,75.61028,-65.90622
73.66175,74.94441,-63.67136
69.25486,71.64454,-64.08665
58.41856,68.13028,-62.59797
50.22821,65.79527,-60.07777
44.15416,61.72153,-53.58544
40.93566,58.78975,-45.92733
38.82429,58.09332,-41.79578
38.13086,57.96636,-39.18664
36.93581,58.9696,-37.09507
39.67237,60.12878,-34.95052
