X,Y,Z
-50.42869,115.9638,-38.37076
-51.29538,117.6184,-38.8835
-51.21612,118.4133,-40.03054
-50.30644,117.9546,-40.69569
-50.17562,119.2653,-39.86548
-49.09573,121.4714,-39.37011
-48.92785,125.7539,-34.87563
-50.69554,131.0845,-32.76097
-51.47384,135.769,-33.2333
-52.04183,139.7518,-33.96278
-51.79951,143.5308,-35.25034
-51.44683,146.8022,-36.74611
-51.45134,148.3593,-37.67958
-51.35793,151.7511,-39.39475
-50.57706,154.2805,-40.96478
-48.51705,156.5322,-42.29147
-46.01184,156.8352,-43.49383
-44.0812,156.3513,-43.87306
-43.00994,156.0218,-43.72312
-41.48216,155.1874,-43.48287
-39.76382,154.2184,-43.12293
-39.34254,153.7415,-43.03937
-38.99723,153.2814,-43.03216
-37.67217,151.8026,-43.25102
-37.07152,152.7045,-44.10982
-37.18129,154.2619,-43.81802
-37.00215,154.2856,-43.43249
-37.39117,153.7122,-42.3811
-35.50027,152.2042,-42.67065
-35.98372,152.4538,-42.88036
-36.87059,152.6454,-42.90228
-37.84568,153.1577,-42.53712
-38.58561,153.7051,-41.82292
-39.37299,154.0455,-40.97944
-40.29253,154.4961,-40.33493
-41.98095,155.1933,-40.10206
-43.17906,155.728,-39.32702
-45.50775,157.9871,-37.44084
-47.79151,159.7305,-35.2623
-50.63145,162.3069,-33.13701
-53.10132,165.029,-31.29686
-55.34018,167.5051,-29.31321
-57.84743,170.864,-27.54713
-58.98435,175.4483,-27.07158
-61.0854,182.1996,-25.41574
-61.45962,188.171,-24.76304
-61.74772,192.1906,-23.96598
-62.28191,197.4211,-25.79519
-62.56987,202.4535,-27.29011
-63.10564,207.3599,-28.54011
-64.31097,212.1438,-30.23522
-65.36877,216.5425,-32.6581
-67.2644,220.8314,-34.72442
-68.65222,222.5918,-36.12062
-69.35714,223.4964,-36.92035
-71.30767,225.485,-37.94048
-73.76189,228.23,-38.31248
-76.6426,230.9836,-38.10998
-80.13312,233.5547,-37.7571
-84.07298,236.008,-36.99637
-88.33801,239.0529,-35.83048
-92.84644,241.6033,-33.87235
-95.77053,246.1783,-30.77863
-98.51588,249.3808,-26.5676
-102.739,250.5839,-21.87809
-107.088,251.5077,-16.42673
