X,Y,Z
110.0855,167.2407,-67.57072
119.7044,188.6924,-61.28598
-170.6798,190.682,-155.0333
119.7044,188.6924,-61.28598
-170.6798,190.682,-155.0333
121.6348,192.8222,-59.2067
-156.5614,156.3404,-114.8344
124.346,197.9237,-57.54168
-159.1268,152.0779,-105.9224
126.026,202.3187,-55.98473
-162.8809,154.627,-102.7934
127.5808,206.1813,-54.52542
-163.7949,156.9857,-100.7015
128.8138,210.426,-53.27103
-164.025,160.1383,-99.48549
128.8626,212.558,-52.06147
-164.0513,163.0006,-97.86937
129.6251,213.8726,-51.67026
-163.146,163.4555,-96.8185
132.39,219.4567,-49.28927
-164.1495,169.3724,-94.42876
132.39,219.4567,-49.28927
-164.1495,169.3724,-94.42876
133.8431,223.0945,-47.98458
-163.7939,173.2573,-92.98073
134.4303,224.2419,-48.02359
-163.6707,174.383,-92.92222
135.4658,225.9074,-47.72564
-163.8129,177.0693,-92.50603
136.4584,227.7877,-47.76027
-164.3333,179.9722,-92.52672
137.5346,229.2438,-47.90912
-164.3262,182.0491,-92.03956
138.4901,230.6279,-48.3806
-164.9819,184.9305,-92.38905
139.2082,231.5377,-48.93328
-165.4812,186.7287,-91.88036
139.8932,232.6201,-49.51799
-166.2418,188.5822,-91.56261
140.3562,233.5505,-49.95056
-167.5945,191.1748,-91.34628
140.8051,234.8668,-50.35225
-168.5964,194.4695,-91.04044
140.896,235.2937,-50.45942
-168.4362,195.1203,-90.82237
140.9801,236.0249,-50.5992
-168.4682,196.5938,-90.62184
141.1383,236.6848,-50.66903
-168.4332,197.9141,-90.41611
141.2542,236.858,-50.55761
-168.0265,199.221,-90.27344
141.1567,236.5296,-50.44201
-166.799,199.5586,-89.39835
141.2887,236.4107,-50.44378
-166.738,200.0619,-89.00489
141.3576,236.0693,-50.43664
-166.8606,200.5805,-88.5761
141.6158,234.8445,-50.74311
-167.2341,201.6489,-87.12692
142.2929,234.1047,-51.20223
-167.2293,201.6249,-85.84953
142.7335,234.0436,-51.32769
-167.513,201.89,-85.71458
143.7571,234.1375,-51.63017
-167.9773,202.1087,-85.55008
144.9288,234.3393,-51.69491
-168.7292,201.8917,-85.52368
145.2098,234.3799,-51.56854
-169.1187,201.9564,-85.71893
145.8627,234.6631,-51.2349
-169.8089,201.7996,-85.87054
146.4245,234.9512,-50.94903
-170.778,201.4076,-85.63337
146.8434,235.2195,-50.64673
-171.9026,201.1569,-85.57689
147.1918,235.5874,-50.3204
-172.7228,200.4847,-85.27095
147.3805,235.9878,-49.90757
-173.4726,199.8153,-85.1452
147.4583,236.4198,-49.55947
-173.9551,198.7569,-85.03935
147.5086,236.8313,-49.45098
-174.1593,197.4726,-85.0252
147.5602,237.2828,-49.52961
-174.2086,196.4125,-85.5095
147.5834,237.4635,-49.57729
-173.703,194.771,-86.37912
147.4724,237.2696,-49.56322
-173.473,193.9054,-86.93539
147.2569,236.0191,-49.62854
-173.0358,192.2002,-89.33646
147.0779,234.7206,-49.75696
-172.1946,189.9429,-90.15651
147.0316,233.6324,-50.19477
-171.5183,187.8676,-91.30689
146.8712,232.4461,-50.84619
-171.2477,186.4939,-92.61655
146.724,231.6068,-51.47244
-171.338,185.4219,-93.77443
146.6721,231.2606,-51.72281
-170.9973,184.6019,-94.3708
146.9459,231.2206,-52.19011
-169.7194,182.3504,-95.36475
147.2431,231.3189,-52.53735
-168.9424,180.2816,-96.08645
147.5499,231.327,-52.77079
-168.3625,178.3421,-96.77592
147.7091,231.2487,-52.97666
-167.619,176.2671,-97.4685
148.0037,231.265,-53.16664
-166.9177,174.5101,-98.48445
148.2162,231.1506,-53.40726
-166.2582,172.9827,-99.69222
148.1842,230.5402,-53.61625
-165.638,171.4264,-100.7693
148.0195,229.6947,-53.84821
-164.7714,169.5946,-101.637
148.0134,229.1053,-54.33704
-164.0651,167.9075,-102.3595
148.0899,228.5702,-54.93385
-163.2499,166.4159,-103.2787
148.54,228.2454,-55.59703
-162.2469,164.7909,-104.1234
149.0876,227.885,-56.15377
-161.105,162.9839,-104.5934
149.0814,226.9402,-56.72236
-160.0844,161.6132,-105.5449
148.71,225.5625,-57.18791
-158.8994,160.2688,-106.7287
148.2448,224.2033,-57.74144
-157.8802,158.9731,-107.7929
147.6044,222.8082,-58.38472
-156.8445,157.5609,-108.5947
147.0318,221.5952,-59.13053
-156.0066,156.4194,-109.445
146.7277,221.0532,-59.60349
-155.5623,155.8613,-109.7829
146.2757,220.0781,-60.29333
-154.358,154.5308,-110.1917
146.3088,219.6981,-60.9165
-153.5521,153.6263,-110.5602
146.386,219.1198,-62.12138
-151.6837,151.9527,-111.0916
146.1551,218.4454,-63.07652
-150.349,150.6754,-111.1339
145.3062,217.0187,-64.01527
-149.1947,149.4466,-111.1729
144.4075,215.5398,-64.89382
-148.0223,148.1338,-111.2353
143.6164,214.056,-65.65913
-146.4411,146.5417,-111.0666
142.4551,212.2717,-66.53632
-144.8025,145.0417,-110.8023
141.2817,210.4678,-67.27295
-142.9311,143.7891,-111.1219
139.8689,208.4198,-67.92077
-141.1576,142.9959,-111.5685
139.0068,207.2137,-68.85788
-138.9974,142.0349,-111.7397
138.3573,206.353,-69.83643
-136.3747,140.4677,-110.9769
137.4032,205.1183,-70.70396
-133.5792,138.5446,-109.7898
136.5007,203.819,-71.42712
-130.7816,136.6691,-108.6293
135.7136,202.6974,-72.06075
-127.7189,134.5155,-107.2275
135.2996,202.0493,-72.2836
-126.3746,133.4725,-106.3634
134.4287,200.9178,-72.8933
-123.6581,131.3215,-104.4934
133.3951,199.6315,-73.59624
-121.7031,129.7279,-102.9365
132.8628,199.0271,-73.78117
-120.7592,129.144,-102.2116
131.5248,197.3987,-74.68711
-117.9938,127.5878,-100.1149
130.6796,196.1671,-75.18581
-115.8954,126.2952,-98.75253
129.9823,195.1429,-75.32617
-113.4253,124.3959,-96.90601
129.5875,194.2414,-75.23532
-111.0618,122.52,-94.85203
129.2889,193.3772,-75.21812
-109.0187,120.7445,-92.5607
129.1129,193.0607,-75.07154
-108.1018,119.865,-91.53345
128.8299,192.3979,-75.00354
-106.3439,118.4025,-89.43391
128.7491,191.7914,-74.96205
-104.5089,117.6328,-87.09608
128.7108,191.4665,-75.01707
-102.7117,116.2525,-85.3393
128.6439,191.334,-75.01761
-101.582,115.3698,-84.52763
128.4753,191.0434,-75.09923
-99.6668,114.4637,-83.04027
128.3799,190.7927,-75.15087
-98.12205,114.2046,-81.99187
128.2086,190.5522,-75.25513
-97.3753,114.7409,-80.87863
128.0957,190.294,-75.2813
-96.33662,114.9016,-79.51997
127.7959,189.9184,-75.32926
-94.75045,114.62,-77.82986
127.4229,189.4516,-75.2971
-92.76954,113.9327,-76.29893
126.9103,188.9391,-75.31333
-91.29279,114.0018,-74.89536
126.447,188.4423,-75.30599
-89.97449,114.1969,-73.41665
125.9937,188.0265,-75.36716
-88.71973,114.6987,-72.12436
125.7301,187.8867,-75.48073
-86.81631,114.7983,-70.66696
125.4582,187.8875,-75.6691
-84.92619,114.6759,-69.01447
125.0338,187.7427,-75.86479
-83.3866,115.0017,-67.62406
124.4921,187.4451,-76.03989
-81.90356,115.6585,-66.3635
123.89,187.1598,-76.17744
-79.92216,116.6411,-64.96195
123.1589,186.779,-76.32378
-77.68281,117.3379,-63.71445
122.2096,186.1504,-76.42204
-75.57484,118.5561,-62.89609
121.2284,185.576,-76.50468
-74.05148,120.8904,-62.65034
120.4578,185.2132,-76.55106
-72.74389,122.2153,-61.46685
119.7241,185.0261,-76.62859
-71.35925,122.9891,-60.70884
118.8898,184.7851,-76.5787
-70.7822,122.833,-58.9493
118.5467,184.7113,-76.4345
-70.73438,122.8789,-58.11246
117.9976,184.7598,-76.11617
-70.09103,123.1581,-57.17696
117.6882,185.0867,-75.74409
-69.6316,123.1437,-55.99273
117.4973,185.7854,-75.57256
-69.03651,123.6488,-55.08561
117.3761,186.2166,-75.5863
-68.67357,124.3875,-54.89433
116.5646,187.1714,-75.83951
-68.62061,128.462,-55.17218
114.948,187.241,-75.89132
-69.86268,129.8503,-54.15229
113.3205,187.5328,-75.63886
-70.826,130.7516,-52.93032
112.4708,188.4281,-75.25207
-71.43924,132.8106,-52.57759
111.3915,189.5663,-74.98186
-71.17565,133.5419,-51.89849
110.2269,190.0316,-74.51862
-70.65866,134.2057,-51.34792
109.5345,190.4445,-74.43465
-70.48779,134.0732,-50.36311
108.5934,190.9513,-74.59892
-70.55743,133.8335,-49.4072
107.0526,190.9657,-74.38052
-70.94593,134.0636,-48.66947
105.6272,190.6912,-74.02745
-71.18575,134.1448,-47.85366
104.5746,190.4844,-73.70567
-71.18592,134.2418,-47.24043
104.0584,190.4776,-73.31722
-71.11032,134.3616,-46.83002
103.8952,190.5281,-73.20509
-71.17072,134.5591,-46.74044
103.7449,190.6911,-73.09188
-71.43502,134.9253,-46.541
103.582,190.7185,-72.96781
-71.72331,135.146,-46.44299
103.5375,190.7911,-72.88867
-71.90641,135.3524,-46.54195
103.5514,190.867,-72.89226
-72.03679,135.489,-46.6317
103.7397,191.0687,-72.92274
-72.39542,135.8466,-46.93498
104.133,191.444,-72.99135
-72.84778,136.0925,-47.41953
104.9412,192.1954,-73.0048
-73.54673,136.3041,-48.29564
105.4932,192.67,-72.82647
-74.21059,136.698,-49.05363
106.38,193.5304,-72.66366
-75.05741,137.5626,-50.08402
106.8703,193.9603,-72.56316
-75.47105,138.1578,-50.71621
107.3513,194.2702,-72.44113
-75.86492,138.8033,-51.39928
108.4244,194.8764,-72.32896
-76.90081,140.7081,-53.51868
109.407,194.7769,-72.05972
-78.46175,143.2488,-55.96894
110.0861,194.4982,-71.55227
-79.6098,144.9745,-57.82381
110.093,194.5704,-71.43605
-80.87035,146.2573,-59.37783
110.0257,194.5132,-71.53557
-81.62144,146.799,-60.02458
110.1707,194.1396,-71.51985
-83.6899,148.3244,-62.05733
110.2493,193.9327,-71.40547
