X,Y,Z
225.6651,444.0675,259.6233
223.9391,443.9745,262.8795
223.9391,443.9745,262.8795
222.5995,442.4525,262.5684
221.105,439.7858,261.5435
219.9563,437.469,261.0094
219.8741,437.4406,261.4753
219.3843,437.2279,262.0766
220.2821,439.268,264.7631
221.7923,440.96,267.311
223.1335,444.2867,269.922
224.8283,447.3985,272.6854
226.122,448.6035,274.1662
226.1656,451.8877,279.9242
226.8696,454.1046,283.6352
228.4418,456.9657,286.0455
228.8321,457.9181,287.1733
229.0717,458.6219,287.7875
229.6745,459.2619,289.9258
226.0691,454.7797,291.5026
225.6907,454.1731,292.0155
224.4209,454.7562,293.8945
223.9747,454.8523,294.08
222.5965,455.4308,295.787
221.5543,454.864,297.7174
221.1972,455.9901,300.5017
220.2423,456.3709,303.1194
220.0807,454.7608,304.6571
219.7982,454.0463,306.8914
218.7226,453.0335,310.8609
216.5766,452.1811,313.5367
217.0215,452.4601,315.1739
219.1526,451.68,320.0913
221.4925,449.7983,324.0778
224.8062,452.2521,328.7661
226.8635,453.108,333.2187
228.2843,453.3446,336.8418
230.2627,453.5154,339.716
230.9869,452.659,342.5219
233.7309,451.219,345.4325
237.6594,450.8462,347.1932
242.8902,449.422,351.2216
247.959,448.2022,353.793
252.8274,445.9279,355.1283
256.3195,444.4976,356.0923
260.7054,442.1817,356.0499
262.492,439.1023,353.7958
266.4807,432.6668,349.9356
272.0117,427.0507,346.9666
279.1433,424.5204,347.7434
286.9709,422.9882,349.4685
294.31,421.4446,352.7597
300.6238,417.0059,353.9052
308.2042,411.4525,355.0122
312.7719,405.9516,352.6521
313.0674,397.1327,346.6433
313.0463,389.933,341.6307
310.9509,381.3159,334.0671
308.3044,371.3453,324.7683
303.2621,358.9646,312.3789
300.1178,352.4465,305.3643
291.6992,341.0647,292.3987
283.8718,330.4135,279.428
275.9472,321.2813,267.7267
269.2236,309.75,254.3663
267.8465,210.0723,177.6467
234.1431,175.6102,149.8774
220.1098,157.702,136.0571
219.0091,149.6417,131.8768
221.7259,144.6931,129.8192
227.0173,142.5133,128.6823
228.5645,140.8199,127.4576
228.0753,133.8567,121.4837
226.0893,131.0931,118.6949
222.5244,126.2814,113.7897
219.5416,122.9989,109.0736
218.0837,121.8059,105.4458
218.4561,122.0781,103.0116
218.2367,121.7427,100.5973
219.3535,122.2504,99.44218
220.2854,122.6219,99.12484
220.3753,122.7931,98.48819
218.9576,122.4474,97.09324
215.9191,121.7785,94.16475
212.1587,120.3583,91.16018
210.3803,119.8164,89.38738
209.6121,119.9185,88.30471
209.691,120.5046,87.83248
209.4215,120.8734,87.18443
209.1919,120.9482,86.86765
208.7005,121.2131,86.11552
208.0259,121.5464,85.24026
206.9015,121.819,84.13927
206.996,122.9474,83.65288
206.3699,123.8368,82.74536
207.3972,124.7825,82.88065
208.2342,127.0798,82.13921
208.3423,129.1316,81.38885
208.1659,131.2905,80.41749
205.956,131.8109,78.67903
203.1655,131.9859,76.6544
201.0962,133.3368,74.39456
199.4533,134.947,72.43959
198.5593,136.0086,71.3326
198.3941,139.3965,69.59563
198.7249,144.0681,67.52325
197.901,148.0768,64.99306
197.4302,152.7592,62.30107
197.1762,157.5583,59.656
196.6057,162.7092,56.71125
196.1875,168.142,53.88546
195.8762,173.8999,51.04255
194.774,181.3341,46.9685
194.3249,183.3817,45.77588
193.6934,186.6622,44.03959
193.5038,189.6608,42.73375
194.1895,193.2492,41.78588
194.71,196.1245,41.11496
194.8872,198.5052,40.3434
194.8508,200.3355,39.37034
194.8272,201.0077,38.91013
194.9728,202.496,37.89688
195.5594,204.6242,36.66197
196.2387,207.0214,35.33882
195.5875,208.6259,33.40006
196.1325,211.3172,31.60998
197.0421,214.8634,30.05113
196.887,218.1194,27.66233
196.7344,221.6369,25.26527
196.9403,224.878,23.42815
196.5549,228.2481,21.29846
195.1845,231.4287,18.70174
194.5019,234.0352,16.41094
193.5523,237.5506,14.00473
194.0821,242.3949,11.80918
194.1916,244.9269,10.57622
193.62,249.348,7.901585
192.983,252.3622,5.725996
192.6478,255.4444,3.872361
192.0698,257.5073,2.348026
191.3078,260.0049,0.4400881
191.2498,261.5934,-0.5269151
191.4351,263.6841,-1.563148
191.756,268.7431,-4.442738
191.3324,273.225,-7.908183
190.7754,275.6993,-10.73506
190.2003,277.8281,-14.29581
190.7697,281.2066,-18.86384
191.493,282.9256,-21.40164
192.5287,285.4368,-30.81466
192.7726,284.388,-38.37654
