X,Y,Z
-148.6964,256.9227,-75.03354
-147.4318,256.0344,-74.59818
-147.3568,255.9319,-74.45835
-147.119,255.6393,-74.13103
-146.9808,255.3643,-73.79803
-146.9945,255.2729,-73.48355
-147.067,255.3747,-73.35266
-147.3636,255.7318,-73.1152
-147.6851,256.1056,-72.83849
-148.1896,257.0404,-72.53912
-148.7894,257.7886,-72.04536
-149.2098,258.3123,-71.78133
-149.546,258.6053,-71.48067
-150.5455,259.599,-70.85509
-153.8146,262.1292,-69.98711
-156.1236,262.839,-69.65102
-158.9866,262.4744,-69.35326
-162.1519,261.4289,-69.73455
-165.3207,259.2629,-70.8304
-169.0733,256.7245,-72.29971
-171.5293,253.117,-73.19268
-173.2486,250.5743,-73.65105
-177.7487,243.6342,-74.46644
-180.9897,239.8264,-74.69037
-183.3869,235.8436,-74.5007
-187.8417,242.5247,-86.0561
-190.9699,244.8071,-88.72023
-192.0534,243.2791,-88.81097
-196.9902,246.7037,-92.08483
-192.8316,244.1416,-96.59207
-191.9903,243.3811,-95.38132
-191.8918,243.9748,-95.55479
-192.4863,243.9406,-95.45117
-193.3839,243.0378,-96.50784
-194.0281,242.8755,-97.12493
-193.6631,242.1365,-98.36171
-193.1187,240.6194,-99.02631
-199.7122,239.8035,-99.74706
-199.9023,241.3032,-100.9723
-199.7614,241.6093,-102.1663
-198.2471,240.9219,-103.159
-196.7634,240.7718,-104.7091
-195.1272,240.4802,-106.2748
-192.1572,239.1034,-107.0899
-189.9773,238.7037,-108.034
-187.9298,238.8671,-109.1163
-185.4229,238.8111,-110.0329
-182.9127,238.8359,-110.5849
-180.2299,238.3662,-110.7679
-177.3692,237.5641,-110.7822
-176.0844,237.2079,-110.7136
-172.3526,236.2296,-110.4353
-169.7128,235.5514,-110.1144
-166.9601,234.7108,-109.4867
-164.5643,234.2266,-108.8849
-161.687,233.4736,-108.683
-159.3426,233.3712,-108.3731
-157.7628,234.4311,-108.2294
-155.7625,235.4884,-108.3038
-153.88,236.3153,-108.2601
-153.0362,237.9318,-107.4922
-152.1752,238.3194,-107.1801
-150.6019,239.5656,-107.1706
-149.7459,241.8918,-107.6451
-149.5383,243.21,-107.5776
-147.6072,246.2369,-107.4376
-146.0674,247.5984,-106.5973
-145.3325,249.6875,-105.5036
-143.8357,251.2929,-103.8536
-142.289,252.5331,-101.5505
-141.3704,254.1334,-99.34946
-140.3531,255.4968,-97.1313
-140.0039,256.9143,-94.69647
-140.0671,257.2876,-91.72307
-140.0602,257.518,-89.44527
-140.3616,257.7713,-87.67313
-140.8702,258.5285,-86.8187
-141.2838,259.1451,-86.73137
-141.8878,260.0222,-86.93719
-142.2712,260.2986,-87.30209
-142.5861,260.1007,-88.03867
-142.5074,259.1122,-89.09245
-142.3254,257.8788,-90.65266
-142.1001,256.398,-92.67825
-141.8508,255.4377,-93.88641
-141.0931,252.8268,-96.29977
-140.1943,248.7277,-102.1081
