X,Y,Z
-33.28931,122.3855,-140.1439
-34.31933,123.0216,-144.0945
-35.06683,123.4189,-147.2894
-37.16662,123.5541,-153.1164
-37.76597,123.845,-156.437
-37.93092,123.9234,-158.6423
-38.31649,125.0505,-161.7967
-39.07662,125.8378,-164.2979
-39.36481,126.558,-165.8729
-40.37621,127.3368,-167.3196
-43.21844,128.4231,-170.4643
-45.95123,129.3709,-172.7553
-48.04031,128.4314,-172.781
-48.81606,127.9441,-172.6133
-49.50171,127.6441,-172.7011
-50.10503,125.5419,-171.1316
-49.88248,124.9434,-170.5825
-49.40049,124.2017,-169.8942
-48.80199,123.643,-169.421
-48.40742,123.3404,-169.4326
-48.02769,122.817,-169.5753
-47.41492,121.8575,-169.4959
-46.68388,120.3509,-169.0667
-45.42855,118.8578,-167.7993
-44.57236,118.793,-166.838
-43.79748,119.0565,-165.0078
-43.50396,119.6952,-162.6006
-44.01928,120.5979,-159.9415
-44.98466,120.5956,-154.9751
-46.69043,120.1902,-148.8237
-49.82779,121.3061,-142.8721
-51.48471,122.0229,-139.2533
-53.24257,122.6497,-135.4155
-58.08187,123.2652,-120.6617
-61.45075,124.6805,-109.7502
-65.37451,127.9808,-98.87365
-70.59912,129.2557,-85.18034
-73.35738,127.9506,-66.19587
-74.88566,123.201,-45.71288
-77.5835,117.7382,-24.57281
-79.64268,113.837,-2.516453
-79.68501,108.9938,19.53315
-78.85295,103.9075,43.68521
-77.40493,98.93274,67.99412
-76.89693,91.09937,92.77876
-74.90032,79.09291,117.0994
202.1374,149.0385,-22.56807
161.5259,122.0434,-23.66387
142.7404,112.3907,-14.54144
138.0016,110.4208,-14.35938
141.5963,112.5386,-14.57976
146.2793,114.4381,-17.43512
151.4763,114.7229,-23.63946
154.2189,114.6242,-25.03864
154.1526,113.5492,-31.83694
152.9967,110.8815,-37.51976
152.786,108.3805,-39.20962
149.5634,104.2385,-43.41849
146.886,101.5322,-45.46485
143.7259,96.69143,-47.07753
144.8425,96.88209,-45.95752
148.2508,98.3017,-46.62873
150.8823,100.4603,-46.89299
153.7638,99.69396,-50.50133
159.2603,100.6278,-54.96878
166.2102,102.3401,-58.50782
174.2441,102.9918,-62.13186
179.3879,101.9665,-65.22639
180.8981,100.4988,-63.77411
182.0296,96.69939,-62.47602
182.9811,91.39269,-59.509
186.1848,87.77221,-57.32685
