X,Y,Z
17.9566,215.556,-9.432275
17.56931,220.1346,-9.959295
17.46574,223.3956,-10.56855
17.37673,230.4785,-11.97733
18.08743,237.1071,-14.00871
18.59573,244.2295,-16.72348
18.65564,249.4761,-18.62324
18.57372,251.0437,-19.29052
18.35192,255.1013,-20.95629
18.24479,259.0945,-22.59147
18.07726,264.2695,-24.93473
18.07218,268.885,-27.89759
18.42048,273.1411,-31.00491
18.72693,275.2337,-32.61952
19.35122,279.3414,-36.42577
20.34331,281.9688,-40.46679
21.23655,284.6851,-44.49088
21.85798,285.8958,-46.05156
23.15019,287.7034,-48.16482
24.18697,287.6995,-48.31064
24.57075,287.4807,-47.94229
24.9528,287.4247,-47.35535
25.41576,287.13,-45.10162
25.48329,286.494,-43.55788
25.18743,283.9334,-40.25591
24.90006,281.5832,-38.49722
24.66398,275.6279,-35.49603
24.93344,272.1676,-34.16001
25.34711,268.0535,-32.76809
26.93185,257.8509,-30.59016
27.88666,252.2299,-30.42706
29.10383,245.9146,-30.41086
31.85479,230.7884,-32.7448
33.31733,223.5581,-34.28437
35.27902,205.3451,-35.33271
36.59203,196.4123,-35.69292
39.67258,176.6635,-36.05884
43.90862,160.1952,-37.24668
47.15836,142.1945,-38.44668
51.08291,125.1832,-37.2961
55.32661,110.6942,-35.84165
60.97829,99.26389,-32.41549
62.3985,83.01594,-28.00463
61.90498,75.40544,-26.78143
58.55334,63.6915,-27.10238
61.11127,58.75989,-27.73214
70.82848,56.49711,-24.6503
82.50398,57.19654,-16.52107
72.74431,55.48581,-22.12459
67.28111,51.18025,-19.93312
60.68675,56.88544,-23.68803
57.55746,58.1461,-24.35074
56.53323,57.64766,-22.74046
54.59518,56.41908,-19.2697
52.21217,53.89454,-15.98165
49.62017,50.82928,-14.31932
48.69439,49.56006,-13.67449
53.98134,49.72955,-13.35897
