X,Y,Z
135.4865,72.518,-8.605472
142.7626,70.50255,-1.39804
143.7917,71.49168,-2.709451
144.7206,71.20702,-2.609368
144.675,70.79902,-2.151564
143.6368,70.33806,-1.980196
141.983,69.79648,-1.731786
140.0755,69.39143,-1.252304
138.8504,69.23031,-1.116501
136.8452,69.17799,-0.8524376
133.9147,68.82101,-0.2647065
132.5298,69.22499,1.167069
133.9758,70.20176,3.405534
137.2875,72.37548,6.250234
139.8948,75.55243,9.085987
139.0172,77.55542,12.20141
135.5552,77.98428,14.85229
133.1532,77.65559,18.92864
131.1522,75.7887,22.60136
128.7794,73.28164,25.47452
124.1404,70.46523,26.37244
121.8539,67.80249,31.23744
120.8476,64.26351,34.06697
125.4097,64.90994,39.66288
127.9085,65.44082,46.62971
130.638,66.13124,50.33321
137.0226,67.59721,58.12868
146.3849,68.81583,65.88688
152.0509,69.65851,72.99388
149.1691,70.27666,76.89321
147.6783,67.77229,81.02712
128.9761,239.3613,219.0958
126.9833,246.5674,226.2916
127.0461,249.4225,227.8319
125.6321,252.7983,231.4019
126.4796,257.8901,236.2347
124.9202,265.8002,237.8087
124.5718,272.5119,237.8614
125.9803,276.1926,238.3102
126.9422,279.7641,238.023
127.4931,284.2516,237.4713
127.6084,288.4251,236.6234
131.41,294.4015,240.1265
133.4434,298.4015,242.3167
135.8398,308.4767,244.0686
137.4068,316.547,243.9232
139.3504,327.1645,245.1689
142.4272,329.5904,249.6527
143.5523,333.7246,251.3674
145.3249,337.482,252.9103
147.6422,340.4157,255.4557
150.4167,345.0098,256.9337
152.0433,349.2989,258.2912
153.081,352.7906,259.4972
153.5193,355.8608,260.0885
153.3964,359.206,259.8914
153.0736,361.3594,259.3928
153.2385,362.7185,258.9973
153.102,363.5184,258.4572
152.8541,363.608,257.9539
152.6045,363.2277,257.7048
152.5919,362.3296,257.7655
152.6172,361.5477,258.0129
152.6243,361.7258,258.4251
152.3676,360.8107,259.4878
155.0905,356.7471,263.2716
158.8045,352.8282,267.2753
162.8423,349.3953,270.4037
165.039,346.2347,272.3694
167.4627,343.5955,274.2043
169.2382,341.7924,276.0261
170.7328,340.6136,277.9898
171.7154,340.0076,280.0536
174.1429,337.6599,282.0358
174.0612,338.3777,283.5466
174.6844,337.0595,284.3939
175.416,336.1667,284.8195
176.6498,333.9959,286.6597
177.319,332.0641,287.121
177.6006,330.8555,287.3751
178.5548,328.3611,287.7975
180.9717,324.1348,288.7207
183,319.3481,290.416
185.273,314.1396,292.8907
188.2264,309.3969,296.1311
190.8427,304.6692,299.4197
194.3978,299.3208,302.3649
197.4724,293.7931,305.3373
200.7618,287.9208,307.4835
203.9889,282.0736,309.0968
207.8123,276.6667,310.8338
212.1519,272.7334,313.2769
217.0496,269.1957,315.5522
222.1292,267.5136,315.3542
224.4155,266.2435,315.8036
227.8977,263.4456,317.2902
231.4095,261.0691,318.5096
234.4785,258.882,319.834
236.2266,254.7937,320.4081
238.5162,249.7387,321.4341
240.731,243.4136,323.2531
245.1836,238.601,324.7249
249.6496,234.5844,327.2766
252.2625,229.4655,330.2487
253.7541,225.8136,331.9844
255.2016,220.7081,332.7545
261.0109,219.4444,336.8286
266.3157,219.1903,341.9749
271.2379,219.1362,346.2872
276.7055,219.8419,350.5955
279.2999,220.2949,352.5946
283.8834,221.0455,356.268
287.8721,221.6444,359.6658
291.4432,222.3792,362.8598
294.0344,222.1083,365.1834
296.2579,221.8421,366.8846
298.1856,221.5667,368.1717
299.5236,221.3179,368.8136
103.2784,172.9523,66.23437
100.3883,167.106,62.67908
99.45475,165.4443,61.16209
98.81259,164.7102,60.12306
98.08413,163.8609,59.22911
97.05121,162.7916,58.20625
96.0303,161.7563,57.20682
94.91068,160.7645,56.09711
93.88592,159.8799,55.09168
92.92132,158.9226,54.15474
92.04848,157.9401,53.43768
91.62088,157.52,53.00464
90.71968,156.6074,52.06561
89.86706,155.8214,50.90318
89.02625,154.8828,49.81513
88.19324,153.9056,48.61596
87.47248,153.1049,47.50036
86.77751,152.4804,46.42767
86.08127,151.9188,45.44767
85.46116,151.4396,44.60723
84.86317,151.051,43.83179
84.38885,150.8082,43.27972
83.88638,150.7422,42.58708
83.6066,150.8944,41.86236
83.56628,151.3249,41.0215
83.70786,151.9615,39.9834
84.18443,152.9151,38.79554
84.58092,153.4825,38.05136
85.83478,154.9536,36.2809
87.96286,156.6738,34.11561
90.58482,158.3853,31.20744
93.85916,160.7879,28.01218
96.93388,162.9285,24.64907
100.3634,165.3943,21.47631
103.6635,167.908,18.41317
106.3523,169.8314,15.58927
108.7524,171.7511,12.89621
111.2593,174.01,10.52312
113.0692,175.9425,8.228406
114.3772,177.8458,5.989342
115.3813,179.268,4.02716
116.3118,180.7488,1.64233
117.208,181.8556,-0.9494807
118.4577,183.1141,-4.049006
119.5646,184.0093,-7.884037
120.1747,184.4736,-10.0781
122.3279,186.0065,-17.77763
123.2743,186.7135,-21.01983
125.412,187.7604,-27.73029
127.5858,187.9056,-35.13452
130.3706,187.7338,-42.99322
133.9248,187.6811,-51.64869
136.7733,185.9513,-60.29969
138.5796,182.7081,-69.18943
141.3573,180.4759,-78.55462
144.6678,177.0943,-86.86179
149.0555,174.2813,-95.53922
153.4019,170.7123,-103.4093
157.7404,167.2324,-110.552
160.4722,163.9808,-116.5818
161.8221,163.1276,-119.176
163.3019,161.6052,-122.7889
163.6881,160.947,-125.0643
162.9468,160.5535,-126.0109
161.1313,160.4847,-126.286
159.3558,161.4093,-126.6335
157.6309,162.697,-126.8705
155.4012,163.1496,-126.0047
152.848,162.8913,-124.7328
150.2256,161.8024,-122.8369
147.5135,159.8768,-120.3177
145.5645,158.4885,-117.9796
143.7708,157.1604,-115.4983
141.0926,155.0134,-112.1851
137.5329,151.4147,-107.402
134.1902,147.6451,-102.4345
132.9398,145.7646,-99.72681
128.0411,139.2888,-91.13212
126.2678,136.6883,-87.80067
121.6553,130.5232,-81.04813
116.7795,125.0893,-74.92095
112.7518,117.601,-66.5451
108.6906,111.5676,-60.45061
103.7895,105.0827,-56.77032
98.92516,96.92435,-49.78087
91.84921,87.31577,-42.65455
85.01669,78.0499,-34.3551
79.97002,70.63857,-26.79155
78.48041,66.90489,-21.88227
75.56915,62.99271,-21.68681
75.06364,53.65475,-21.66177
74.10921,50.47603,-16.63255
70.47694,44.51677,-6.153663
