X,Y,Z
56.25102,220.4354,-43.46006
58.74287,218.1774,-49.84922
64.04092,214.9294,-62.78798
68.99551,208.5774,-74.57825
71.48348,204.9589,-80.14803
76.91242,199.0244,-90.80279
81.70967,194.6282,-100.6915
85.66691,190.213,-108.1814
88.53984,186.6832,-113.2888
90.57601,185.6342,-117.661
91.24159,185.593,-118.2265
90.91706,185.971,-118.3561
90.14466,188.8954,-117.6028
88.07193,190.9581,-115.0663
86.24892,194.3343,-111.8772
84.33462,199.1792,-109.3584
82.24361,203.6411,-106.2139
80.77111,209.22,-103.5886
79.04508,213.5288,-100.0229
77.29323,217.3097,-95.81958
76.25945,222.5498,-91.6263
75.36806,228.6224,-87.31146
74.58505,234.6157,-81.95031
73.72041,240.2499,-75.98096
72.83402,245.76,-69.60492
72.3027,248.0302,-66.10119
71.48086,253.3411,-59.20819
70.6523,258.2068,-51.61325
69.68126,263.0121,-43.98799
68.75883,267.7413,-35.76162
67.46922,272.0051,-27.61589
66.44298,276.301,-19.09312
65.44714,280.7823,-9.844564
64.35829,284.4826,-0.8370611
63.74167,288.1447,9.055464
63.25817,291.4962,18.16247
63.3917,292.9667,22.9889
63.24853,295.784,35.29362
63.96435,297.2808,42.62528
64.61216,297.6446,48.3845
64.93298,297.6981,50.66487
65.91344,297.6569,55.37412
66.76636,296.9238,56.99625
68.37613,296.546,57.70824
72.89875,291.6976,49.74987
74.48866,287.9004,41.58613
74.73799,281.3879,30.91783
75.30715,275.6436,23.66968
75.43204,272.6151,19.82049
75.24397,269.1749,15.87974
75.24397,269.1749,15.87974
75.80225,266.7422,12.73319
76.63834,257.0013,1.418473
74.28874,181.0464,-48.61059
73.96066,167.2697,-54.69714
73.50561,154.4262,-60.25721
74.40511,141.912,-64.31478
75.11028,130.2314,-67.92811
76.9606,119.1124,-71.58788
77.50946,107.5049,-73.33105
78.06929,102.9547,-75.09429
77.80341,93.04538,-76.65334
77.66046,87.22917,-80.62328
78.7682,81.54021,-79.89415
79.24129,76.74773,-80.63178
79.18828,74.2432,-82.92567
80.75527,71.93156,-84.27612
81.78203,69.51675,-85.48009
82.92516,67.43064,-86.29847
82.48938,63.26078,-85.99833
82.28384,59.21533,-84.4454
74.95349,57.55977,-88.53991
73.89105,57.52039,-90.24155
73.31811,56.85773,-92.61284
74.02831,56.14525,-93.5399
