X,Y,Z
105.118,129.3293,-91.1441
112.9151,133.4594,-95.94074
111.98,132.8298,-95.67106
109.014,130.5436,-94.38567
104.8704,127.4492,-92.63316
103.1196,125.5022,-91.82465
98.59351,121.7573,-88.60691
92.14429,117.0353,-84.36275
84.29401,112.4024,-78.95055
76.10587,107.5025,-72.83543
66.76308,102.1612,-65.18413
59.00012,97.99679,-57.94929
52.44418,94.94641,-50.6051
46.44353,89.8655,-42.28644
43.23932,86.86604,-38.32123
37.46125,82.3954,-30.97061
36.7597,82.39285,-30.09559
34.55865,80.6123,-30.42472
33.62569,82.77036,-33.26551
33.43166,85.03572,-36.66925
34.11823,87.19554,-40.90168
36.58955,88.39643,-46.05219
41.02468,87.70734,-51.33877
43.54385,87.20457,-54.22013
47.31859,84.48612,-57.21362
53.40246,83.68891,-60.90168
62.50922,81.48761,-67.7634
65.42629,80.3075,-71.4978
67.23651,77.99889,-74.21585
67.25217,76.07759,-76.70642
67.17776,74.05714,-78.13837
67.26993,73.66227,-82.43372
65.92912,75.69594,-86.21589
65.62544,75.44944,-91.69106
64.31987,73.89419,-96.0163
60.76914,73.1349,-100.12
54.062,71.66697,-104.9736
52.30488,70.39536,-105.5096
47.52138,69.69296,-109.1232
