X,Y,Z
-183.3769,181.224,-155.9844
-163.6049,168.2102,-144.098
-157.0362,164.355,-140.5136
-153.1354,162.2184,-138.4723
-173.848,191.8708,-154.1413
-174.8781,192.2891,-155.4503
-176.3954,192.6169,-156.8041
-177.2196,192.7998,-157.543
-178.8058,193.7583,-158.653
-180.0896,194.769,-159.573
-181.34,195.0221,-160.361
-182.3935,196.4438,-160.8476
-183.2228,197.4164,-161.4401
-183.8709,198.512,-161.8283
-183.7137,199.7945,-162.5018
-181.5092,202.8221,-164.507
-155.5948,200.8307,-176.4259
-133.8008,177.0466,-157.8831
-111.0668,155.0511,-138.3068
-87.6792,133.7599,-119.9627
-76.53458,122.7532,-110.8051
-56.48885,100.6439,-96.67299
-33.89988,77.14752,-78.22492
-26.35326,72.28359,-74.65767
-21.97777,69.80691,-74.47603
-17.30141,67.07146,-74.34933
-215.0691,224.585,-246.504
-216.9296,218.8181,-247.9214
-217.884,216.3488,-248.5062
-218.4892,213.9952,-248.724
-217.3215,213.6606,-248.8888
-217.092,212.7674,-248.9625
-217.6756,211.9155,-248.7238
-219.5167,211.0353,-246.0255
-218.9826,212.7422,-244.6752
-213.2525,225.1059,-238.7177
-209.0628,232.1049,-236.0416
-193.3602,247.8538,-231.5684
-175.8424,263.7838,-229.328
-159.8083,277.6782,-229.1487
-148.4879,286.8918,-230.8779
-144.0085,289.2017,-234.759
-141.9951,286.4829,-239.7867
-143.9742,283.0325,-242.6714
-146.1901,280.2929,-243.8469
-149.0209,276.3671,-244.8221
-150.1355,272.1624,-245.1838
-149.3482,271.0391,-244.8414
-147.397,268.8983,-243.5354
-145.1355,265.577,-241.3636
-144.0306,263.2002,-240.0553
-143.5316,262.106,-239.4428
-143.0101,260.9817,-238.8022
-141.4961,256.8011,-237.066
-140.2131,253.9038,-235.6248
-138.2585,251.1181,-233.1139
199.5161,322.6681,373.098
199.5161,322.6681,373.098
199.2609,319.2821,369.8431
198.3775,315.5554,366.8581
197.2609,311.5343,364.207
195.9292,306.7931,360.6076
194.1985,302.2132,355.9459
192.0069,296.5957,351.0425
189.6351,290.5007,345.9448
186.8658,285.2598,340.9893
184.342,280.3226,336.6052
183.3376,278.0325,334.4903
179.8719,272.0471,327.7148
178.1487,270.608,324.8671
175.6332,268.3722,319.5481
173.6904,265.2943,313.4195
171.979,261.4844,306.6413
169.6265,257.4616,299.2958
168.0016,255.3306,295.743
163.0223,245.7363,286.4793
160.3984,239.0645,280.7729
157.3275,232.7524,274.6974
153.9924,226.6421,268.3516
150.9647,220.478,261.8412
148.0749,214.704,255.5762
145.5545,209.1528,249.7235
142.6969,203.0533,243.6144
141.1375,200.1061,240.703
136.7495,192.6068,233.168
-137.2489,192.7155,-203.1371
135.507,190.5483,230.8593
-137.2281,196.814,-206.9058
133.8422,188.1844,228.1039
-135.9951,206.8199,-214.0379
132.7708,186.5839,226.2128
-131.307,216.4576,-219.5736
131.6942,185.3186,224.6115
-129.1614,222.1663,-225.0201
131.2483,184.6822,223.7883
-130.0762,225.1909,-229.2567
130.81,184.1549,222.9035
-131.8501,227.402,-232.2299
130.721,183.9576,222.5641
-132.6365,228.8366,-233.617
130.9826,184.0021,222.3327
-132.5759,232.8724,-236.5301
131.1569,184.0206,222.1035
-132.6983,233.7348,-238.6377
131.2099,184.1121,221.8466
-132.7228,233.8815,-240.4824
131.4012,184.1953,221.7487
138.27,189.1214,222.8135
144.3237,184.4404,222.1037
146.78,181.4585,221.9884
148.9137,178.6969,221.2863
150.0448,177.1071,220.4949
151.9969,174.9412,218.5483
152.5452,174.4267,218.2404
153.1631,173.3928,217.9637
153.9077,171.8929,217.4835
154.8479,169.5949,216.761
155.2971,167.2074,215.9289
155.0511,165.0838,215.2265
155.3319,162.9516,213.5118
155.6274,160.3069,211.5685
155.5682,158.6142,210.6086
155.04,155.3302,208.6441
154.0129,152.3976,206.7257
153.2107,150.9015,205.5198
150.2897,148.1543,202.6189
146.4145,143.581,198.1161
141.6948,137.0333,192.1035
138.6854,132.3558,187.3738
137.1475,129.9191,184.7825
134.6355,124.9528,179.2528
130.3384,118.6323,172.5853
127.6969,115.4211,168.3868
123.7403,109.7542,159.6265
121.6907,105.2855,151.9075
120.0438,101.0751,147.1683
118.6896,96.26366,143.1306
117.2575,92.56892,139.6447
115.7006,89.69221,136.7591
114.3771,88.10714,133.6673
112.8676,86.19191,130.1197
111.7255,85.55071,129.19
110.0632,84.23087,127.9763
-165.9063,199.1131,-198.5222
-163.9081,201.6109,-202.8781
109.965,300.5245,314.928
-160.861,206.1177,-202.6558
110.0744,300.011,316.2264
-159.106,208.7156,-202.1046
110.3493,299.9891,317.1
-155.4167,219.2233,-203.2649
112.042,300.0339,320.643
-147.8855,227.6525,-203.3625
113.2857,301.2903,322.3341
-140.4763,232.9398,-205.0629
114.5128,303.3065,324.0174
-136.8032,233.1398,-208.7685
115.7562,305.0687,325.7572
-133.9637,231.5623,-211.5493
117.09,306.975,327.8637
-130.6311,229.3326,-212.0998
118.6356,308.9354,330.3463
-128.8971,227.0688,-210.5974
120.2379,310.8963,332.7887
-127.111,225.4953,-209.1969
121.7375,312.6021,334.9856
-125.8379,221.9731,-207.4851
123.0531,314.1199,337.1368
-124.7357,215.1674,-206.3155
