X,Y,Z
117.9787,193.672,136.6364
-162.4262,169.1324,83.653
112.1608,186.5445,135.7061
-163.3177,177.0211,90.2725
111.8412,188.3986,137.6075
-163.9311,181.2676,93.07184
111.8482,195.2821,143.3397
-164.5003,189.7039,98.94881
112.1887,203.8129,149.8792
-164.7733,197.718,104.8215
113,212.0598,157.9866
-164.9012,205.5357,111.4108
113.2608,219.8204,163.7135
-164.523,212.1819,116.8377
112.7933,226.6623,168.4252
-163.518,217.9217,121.68
112.8725,236.9436,175.8777
-164.311,228.2386,129.826
112.5207,242.495,180.3182
-164.6229,234.3531,135.2059
112.3508,245.0591,182.6867
-164.6115,237.1889,137.6681
111.4899,249.2487,186.4735
-164.3226,242.1789,141.9602
110.4161,255.2522,191.9902
-163.9682,248.9135,147.9877
110.065,256.8862,193.5226
-164.056,251.2857,149.8193
109.5074,259.8,196.8604
-164.4143,255.8177,153.6255
108.8265,262.6043,199.3992
-165.0052,260.3793,157.157
108.3989,265.2304,201.8164
-165.9848,264.5272,160.6672
107.45,267.5485,204.2589
-165.7703,267.9304,163.3802
107.1266,269.2588,206.1558
-166.1665,270.2881,165.3665
107.0095,270.0688,207.0535
-166.4871,271.5114,166.4769
106.7665,271.6099,209.7756
-167.1643,274.3729,169.107
106.6392,272.1068,211.2878
-167.4121,275.675,170.6869
106.689,272.6147,212.6145
-167.6606,276.4791,172.2197
107.0602,273.1013,214.1747
-168.0032,277.17,173.8936
107.3203,273.6457,215.7986
-168.2793,277.6496,175.5107
107.6574,274.0599,217.5114
-168.3028,277.6622,176.9187
107.8131,274.2952,218.3483
-168.4318,277.8377,177.7436
108.1063,274.7346,220.5379
-168.9375,278.7688,180.1
108.47,275.2819,222.391
-169.7711,279.9552,182.3391
108.6207,275.5662,223.3309
-170.3522,280.82,183.7491
108.6402,275.6806,223.6988
-170.6432,281.216,184.4593
108.7424,276.0023,224.5874
-171.196,282.1112,185.8548
108.7336,276.3232,225.3073
-171.6645,282.8575,187.2416
108.6311,276.6023,226.0451
-171.805,283.3116,188.5509
108.4588,276.8022,226.9646
-171.7868,283.7519,190.106
108.0681,277.0742,228.0246
-171.5982,284.0179,191.8121
107.4758,277.1771,229.1382
-171.2252,284.3511,193.6538
106.5641,277.0694,230.0587
-170.7551,284.7479,195.8264
105.6224,277.0092,231.2056
-170.0858,285.3201,198.0814
104.664,277.3933,232.587
-169.5598,285.6622,200.7555
103.7144,277.9753,233.9597
-168.927,286.1044,202.8921
102.8124,278.8144,235.6011
-168.5254,286.7966,205.3119
101.8756,279.4559,237.2555
-167.9745,287.5624,207.361
101.0695,280.3397,239.1073
-167.2809,288.1919,209.1693
100.453,281.2643,240.8901
-166.2283,288.4329,210.2132
99.87432,282.1231,242.3486
-165.2207,288.3378,210.6535
99.27023,282.63,243.2872
-163.8579,287.6608,210.2429
98.80964,283.163,243.9781
-162.4211,286.7407,209.5346
98.4862,283.9424,244.6454
-160.9302,285.7837,208.327
98.44116,284.4962,244.9728
-160.0458,285.323,207.4596
98.20379,285.4417,245.3022
-158.4344,284.4088,205.6543
97.98588,286.2505,245.4201
-156.7389,283.3172,203.469
97.78944,286.8198,245.2435
-155.4915,282.2539,201.6011
97.70718,287.4772,244.7603
-154.1847,281.3071,199.5614
97.62334,288.1255,243.7414
-152.9681,280.4527,197.7359
97.61074,288.7335,242.6641
-151.9623,279.8515,196.2335
97.72054,289.4152,241.28
-151.2043,279.5619,195.2227
98.11334,289.9547,239.6767
-150.7122,279.536,194.5736
98.65276,290.5351,237.9635
-150.3087,279.8618,194.1636
99.30591,291.1293,236.2694
-149.9977,280.3708,194.1838
99.83246,291.7943,234.5336
-149.6226,280.8621,194.7875
100.2948,292.7472,232.9045
-149.3826,281.6489,195.9198
100.6924,293.7083,231.2371
-149.2076,282.5953,197.1194
101.1914,294.696,230.1669
-149.433,284.0297,198.6447
101.4793,295.1595,229.6901
-149.7218,284.8412,199.5148
