X,Y,Z
-48.09834,158.1998,34.53867
-47.93689,157.9165,35.16626
-47.79207,157.5527,34.99155
-47.85144,156.3091,34.08818
-48.46375,154.4806,32.70792
-49.11499,151.9801,31.30955
-49.44597,149.5185,29.96268
-50.6712,147.3588,28.955
-53.16917,145.0858,27.85668
-55.86757,142.7829,26.66309
-58.15332,140.4532,26.34533
-59.64947,138.2883,26.80938
-59.63404,136.3393,27.62767
-58.56501,134.6125,28.29062
-57.85341,133.8374,28.46511
-55.96111,132.0884,28.42273
-53.72247,129.8898,27.34797
-52.86692,128.2698,26.91114
-52.63049,127.0023,26.76868
-52.49592,125.4647,27.0912
-52.48242,124.1607,27.3751
-52.49842,123.6134,27.45823
-52.50436,122.4431,27.6834
-52.29822,121.2112,27.87148
-51.82641,119.9648,28.01594
-51.36832,118.2698,28.15575
-50.6353,116.4547,28.3457
-49.76035,114.6935,28.53637
-49.02745,113.1588,28.83424
-48.89651,112.0794,29.2914
-49.29049,111.1798,29.96459
-49.72785,110.1251,30.77489
-49.15622,108.4707,31.81171
-47.43295,106.6465,32.78474
-46.29031,105.6895,33.14453
-42.63369,103.09,34.30547
-41.45775,102.4038,34.83015
-39.57016,101.5221,35.98666
-38.38151,101.3825,37.70776
-37.81028,101.6253,40.00188
-37.25512,101.7515,42.32644
-36.47625,101.6066,44.93479
-35.94054,101.515,47.4958
-34.96573,101.473,49.67399
-34.32872,101.279,51.23545
-33.96732,100.9953,52.61094
-33.47623,100.6979,54.03668
-33.0949,100.5717,54.69125
-32.32304,100.2187,55.51289
-31.4781,99.85829,56.04567
-30.43467,99.36854,56.71195
-30.06679,99.18669,56.91412
-29.41199,98.908,57.31712
-28.75955,98.70086,57.78533
-28.20981,98.55191,58.33286
-27.64714,98.30644,58.88777
-26.77171,97.95801,59.62244
-26.43863,97.81879,59.79235
-25.82425,97.605,60.08687
-25.20418,97.3864,60.32122
-24.90797,97.25052,60.43711
-24.40711,96.97002,60.68407
-23.84587,96.14265,61.2416
-23.36908,95.35925,61.56629
-22.88966,94.82737,61.64357
-21.79032,93.09538,61.3777
-21.25387,91.90362,61.13503
-20.88404,91.08433,61.09655
-20.3961,89.98275,60.80249
-20.1492,89.43669,60.60849
-19.81348,88.8485,60.37814
-19.33607,88.19423,60.10258
-18.77958,87.4185,59.83871
-18.29665,86.70101,59.737
-17.84164,86.08276,59.67308
-17.45895,85.57165,59.56591
