X,Y,Z
146.3993,202.5152,191.1727
161.1519,197.6659,196.4386
163.0966,195.746,197.0468
166.4694,192.2235,198.9105
167.7977,190.3304,200.0379
168.7709,188.2366,200.9713
170.2397,185.2374,202.0175
170.8271,182.4142,202.8212
170.1488,180.1459,202.7421
169.612,179.5084,202.6624
168.2751,178.9392,202.6443
166.4904,179.0341,202.0394
165.5346,179.4408,201.7214
163.4418,181.0008,201.251
162.2487,181.9724,200.6291
159.5112,183.8006,198.9367
158.2856,185.0276,197.9522
155.6731,187.7695,196.095
154.2517,189.1418,195.0567
151.4882,192.8367,193.393
150.0161,194.6904,192.7472
146.5361,198.0911,191.2823
144.6647,199.4433,190.436
140.6144,201.7672,188.1586
138.6591,203.0555,186.9749
135.0092,205.8998,184.8579
131.3785,208.6261,182.6382
129.7173,210.0365,181.8005
126.1837,212.8214,179.9647
122.7186,215.753,178.2938
120.828,216.7143,177.3072
118.9246,217.6738,176.1385
115.4109,219.6927,173.8903
113.9226,221.0657,173.0765
110.6782,223.3279,170.9515
109.1301,224.8349,169.8862
106.3538,228.1006,167.7979
104.6561,229.3648,166.3336
102.1112,233.2791,164.1177
100.6938,234.959,162.8018
97.99246,238.0321,160.4844
95.40461,241.0541,157.9779
94.26904,242.7546,156.8854
91.99276,246.3072,154.5591
90.80878,248.0244,153.2807
88.69274,251.916,151.1334
87.47552,253.8647,149.8569
84.59502,256.8806,147.2346
83.09962,258.5541,145.9655
79.95466,261.6967,143.0303
78.34605,263.0701,141.6724
74.90012,265.6187,138.2938
73.23878,267.1705,136.5026
69.74635,269.7625,132.3692
66.39304,273.0814,127.7214
64.57407,274.4,124.7485
61.09188,277.1923,118.5484
59.37925,278.5778,115.3439
55.81846,280.984,108.3057
54.19538,282.3949,104.5864
51.4382,285.1216,96.71309
50.19547,286.1701,92.3483
48.16426,287.8823,83.36966
47.39174,288.9861,78.91203
46.12886,291.3133,69.69684
45.55002,292.2958,64.90837
44.57278,293.3912,55.17942
44.18933,293.5308,50.36236
43.90721,294.0349,41.20496
44.03316,295.1509,32.46225
44.53782,295.545,28.42288
45.84329,298.5927,16.46949
45.84329,298.5927,16.46949
46.30039,299.375,8.852628
46.76286,299.3965,5.369832
48.45219,300.3333,-1.171552
49.27313,300.3686,-4.339363
50.66291,301.3577,-10.47205
51.25794,302.3715,-12.94475
51.19701,303.1778,-16.63375
50.59626,306.2853,-19.73
50.44957,308.2685,-21.07908
50.73224,312.4327,-21.26525
51.35142,314.0647,-20.29832
52.27132,315.8101,-17.92565
52.50974,316.231,-16.99935
52.92074,316.6095,-14.35417
53.29517,316.9637,-12.69111
54.21529,318.7275,-9.128079
55.00836,319.9686,-6.686248
57.27874,323.341,-0.5527999
58.23054,325.1304,4.776008
58.23054,325.1304,4.776008
59.75039,328.1078,14.34081
60.28767,329.343,17.98585
61.42163,333.2004,24.70328
63.00395,336.3264,31.99264
63.38235,337.4906,35.32352
63.71179,338.4353,38.63252
63.96923,341.0383,44.08868
64.06852,342.1251,46.59251
64.3344,343.9946,51.00806
64.40883,344.9553,52.75061
64.48219,347.3088,55.40221
64.37373,348.5283,56.40918
64.3389,350.512,57.99714
64.48389,352.8672,58.15771
64.4318,354.4285,57.7214
64.01141,356.2311,56.04639
63.7672,357.0315,55.07753
63.84871,357.0178,54.25161
64.15726,355.6773,52.11665
64.54018,354.1743,49.33157
64.19305,353.625,47.0328
64.75024,351.4403,44.00513
64.56338,350.1424,41.8941
65.87454,348.7227,37.55494
65.8745,348.475,34.96645
66.3005,351.3994,27.71571
66.28047,357.4851,17.37437
66.17247,359.8254,10.9874
65.81416,363.0482,-6.229422
