X,Y,Z
-443.8665,447.4306,694.3772
-442.5609,444.7783,692.4233
-442.5609,444.7783,692.4233
-442.2699,443.6028,691.9801
-441.9046,442.7037,691.5497
-441.5551,441.9326,691.0687
-441.3495,441.1198,690.6541
-441.0753,440.1875,690.4263
-440.4937,439.5581,689.9865
-439.7349,438.8044,689.1781
-439.032,437.8113,688.235
-438.4573,437.6424,687.7209
-438.0559,436.9368,686.3628
-437.5915,435.7905,684.9491
-437.2399,434.7464,683.6977
-436.6814,433.6617,682.3536
-435.7571,432.6425,681.044
-434.0573,431.4838,679.7725
-432.4943,430.0332,678.3172
-431.6009,428.4889,677.0586
-431.5583,427.0677,675.5333
-431.0738,426.4779,675.0832
-430.9334,425.5829,674.0579
-431.5098,424.0935,673.0874
-431.9824,423.273,672.4107
-431.8857,423.22,672.2334
-432.2293,422.9101,672.0236
-432.3592,422.8291,671.9162
-432.4366,422.8074,671.7679
-431.8389,422.4299,671.2384
-431.3207,422.2379,671.0105
-431.0222,422.0658,670.8468
-430.3033,421.5237,670.4783
-429.8375,420.9973,670.0673
-429.4103,420.521,669.6099
-429.0688,419.7675,669.5876
-428.5222,419.0794,669.1348
-427.9436,418.6091,668.4665
-427.335,418.0885,667.8102
-427.1181,417.7872,667.3878
-426.4509,417.3083,666.7816
-425.5658,416.59,665.6502
-424.8093,416.1753,664.8961
-423.6955,415.4577,664.182
-422.701,414.3658,663.6248
-421.5844,413.5177,663.068
-420.753,412.6368,662.1429
-419.8416,411.8184,660.9538
-419.5287,411.3554,660.371
-419.4625,410.7141,659.2417
-419.4196,410.1391,658.5727
-419.4494,409.5145,658.1898
-419.2927,408.9209,657.8994
-419.1302,408.186,657.3691
-418.9725,407.4461,656.6901
-418.9895,406.8353,655.9866
-419.2279,406.2213,655.1862
-418.7678,406.1676,654.9505
-418.162,405.2452,653.6236
-417.6301,404.1703,652.4222
-417.6805,403.8224,652.1259
-417.6078,403.1419,651.8104
-417.8089,402.8292,651.5917
-417.8617,402.106,651.1912
-417.6703,401.8178,651.0223
-417.2461,400.8322,650.7921
-416.6852,400.1876,650.6393
-416.1484,399.6313,650.4663
-415.4349,399.1853,650.2142
-414.9421,398.7935,649.8832
-414.3669,398.1251,649.7247
-413.7457,397.4952,649.3754
-413.2586,397.0251,649.058
-412.299,396.1286,648.285
-411.2041,395.1636,647.552
-410.4359,394.3031,646.6077
-409.9045,393.3083,646.1023
-409.2505,392.3829,645.4583
-408.2709,391.6181,644.6298
-408.1213,391.4255,644.1544
-407.7638,390.7032,643.3232
-406.3144,389.0249,641.6129
-405.9691,388.6429,641.1658
-405.1771,387.5092,640.5264
-404.1626,386.0331,639.762
-403.3895,384.6659,639.0742
-402.2876,384.1513,638.4593
-401.3441,383.9152,638.0023
-400.6063,383.6242,637.369
-399.8686,383.2825,636.3909
-399.2267,382.2546,635.9269
-398.767,382.0618,635.6118
-397.3957,381.4621,634.3039
-396.9076,381.0583,633.9427
-396.081,380.5693,633.5707
-395.2773,379.8145,633.3247
-394.579,379.4361,632.7855
-393.9503,379.5052,631.986
-393.2587,378.899,631.5203
-392.5261,378.4154,630.9489
-392.5175,378.7875,630.5397
-392.0811,378.3999,630.1549
-391.6093,377.7822,629.7575
-390.9137,377.1835,629.5774
-390.723,376.7381,629.2179
-390.8649,376.0874,629.0015
-390.4222,375.2364,628.638
-389.9929,374.2577,628.5374
-389.9145,373.456,628.5717
-389.7335,372.667,628.964
-389.5731,372.6976,629.0139
-389.1125,371.9649,629.1804
-388.7321,371.2347,629.2568
-388.1584,370.7993,629.3535
-387.7708,370.2048,629.3044
-386.9598,369.4357,628.7156
-386.1948,368.6742,628.1834
-384.8735,367.8641,627.4571
-384.6825,367.2071,626.7437
-384.8435,366.4526,626.4074
-386.1734,366.7693,627.062
-384.9818,365.206,629.0778
-383.9718,362.5348,631.6686
-385.5068,365.9476,627.1827
-384.4602,364.7586,626.7064
-384.1874,364.0342,627.0363
-384.7081,365.0294,630.4944
-384.6366,365.5945,631.1205
-384.2946,364.1293,631.0513
-384.6307,363.6266,631.4142
-385.1677,363.517,631.8041
-385.8666,363.561,632.5739
-386.1747,363.7729,633.0616
-387.1471,364.3742,633.9564
-388.1035,364.5825,634.2575
-388.6839,364.3992,634.0829
-389.2727,363.9571,633.561
-389.9089,364.5781,633.9011
-389.9247,364.7321,633.4943
-389.7162,364.0228,631.911
-389.5841,363.8743,631.3479
-388.1446,363.9388,630.1604
-386.7935,363.8647,628.9741
-385.7498,363.1286,627.4006
-384.9987,362.1591,625.8055
-383.6147,361.2591,624.0938
-382.1542,360.3732,622.5887
-381.5068,359.81,621.9041
-380.594,358.7323,620.7452
-379.5948,357.9379,619.5128
-379.0443,357.7625,618.591
-378.4518,357.722,617.9404
-377.9358,357.4596,617.6854
-377.2226,356.8821,617.1469
-376.6457,356.3444,616.4588
-376.0056,355.8348,615.6175
-375.8086,355.4702,615.09
-374.8934,354.4668,614.0624
-374.1973,353.187,612.5033
-372.8844,351.7584,610.1696
-371.5369,350.3891,608.1139
-369.2261,349.9462,604.6236
-367.9761,348.7531,602.269
