X,Y,Z
22.70433,538.759,129.4153
23.34648,531.5888,143.5942
23.34648,531.5888,143.5942
21.96725,529.4528,147.3052
19.73841,527.2617,150.0076
19.10785,524.2439,153.2496
16.16328,522.4616,154.3811
13.47164,521.6938,155.475
11.72034,521.5596,155.9986
10.86135,521.6826,156.1871
11.15492,522.3887,157.9216
9.865963,523.9523,158.9058
10.74086,523.8887,159.5139
10.21071,522.8642,159.6046
9.929555,520.8395,159.0353
9.769732,519.856,158.6999
8.674719,516.0311,156.9814
8.014491,514.877,156.119
6.081974,511.5836,153.4843
5.386699,511.0965,152.7996
4.96677,510.8618,151.9518
4.90232,510.081,150.5076
4.974584,509.674,149.5141
5.378087,509.9634,149.1431
5.49652,511.3259,148.0239
5.530714,513.3242,147.2037
5.363717,515.8229,146.1517
5.255114,518.03,145.0253
5.16158,520.4609,143.9383
5.372444,521.6264,143.1617
4.496167,523.8161,141.9662
1.747437,526.7607,139.4726
1.276767,528.5553,138.2333
0.2445654,530.6627,136.7594
-0.6355172,531.9312,135.921
-2.100024,537.1448,134.2162
-2.541312,538.9707,133.9476
-2.763341,540.9761,133.5933
-2.729591,547.3687,133.1922
-149.469,241.6351,-91.55856
-147.2225,242.7295,-105.6458
-147.7471,239.3283,-111.0827
-147.1391,233.888,-118.3567
-148.6021,228.729,-132.2648
-149.0731,226.153,-136.6406
-150.2934,221.2322,-144.6079
-151.3584,216.3345,-153.9424
-152.4412,211.6105,-163.1185
-152.9875,207.4187,-171.4645
-153.6383,204.0288,-179.6362
-152.024,190.9738,-183.1407
-151.4386,189.3076,-184.0591
-150.4157,187.086,-184.5488
-149.4805,185.6099,-186.003
-147.9293,184.0808,-186.4601
-147.0404,183.7944,-186.6158
-144.5972,184.864,-187.0132
-142.754,185.91,-186.4846
-141.8492,186.5609,-186.0158
-139.7671,189.1064,-183.3539
-139.1584,190.3432,-182.2367
-138.5681,193.0284,-180.9835
-137.7267,195.3816,-179.2162
-137.6847,198.4274,-177.3672
-138.0802,202.626,-174.7444
-137.4116,206.0336,-170.4518
-137.0127,209.1525,-166.7547
-135.1795,211.8539,-164.0542
-126.9396,217.0905,-168.7643
-125.9045,222.2299,-169.2533
-125.6464,228.027,-169.7003
-124.7195,229.1216,-168.2911
-124.1536,230.5748,-166.5379
-122.1714,233.1761,-160.065
-120.2294,237.1671,-151.5429
-118.8351,239.3497,-145.3478
-117.5543,242.0646,-139.1669
-116.5024,244.83,-133.3078
-115.6183,247.5605,-128.1594
-114.6486,249.9218,-123.3421
-114.314,251.2309,-121.048
-113.8962,255.2982,-114.0414
-113.8727,257.3677,-109.4305
-114.3753,259.9172,-105.3978
-114.4698,261.5817,-101.237
-114.2418,262.7024,-96.98313
-114.1728,264.6678,-93.90131
-114.0747,266.0956,-90.65965
-114.2462,267.1219,-89.17362
-114.92,269.5215,-84.05181
-116.0407,270.6396,-79.95233
-116.7235,271.0595,-77.7346
-118.9509,272.1775,-72.77416
-120.2069,272.2698,-69.88776
-124.8192,272.2277,-62.23025
-129.5296,270.6969,-56.44847
-131.1696,270.1069,-54.98463
-134.6413,268.7338,-52.79498
-138.7528,262.9707,-51.17385
-142.3315,260.4748,-51.2142
-146.4016,259.5717,-51.90108
-148.8677,260.0829,-52.35694
-153.4457,261.8192,-53.46002
-157.1137,263.5107,-54.15269
-159.6566,264.6603,-54.24799
-161.214,265.3086,-54.11404
-162.6358,266.2035,-53.49514
-163.5546,266.5575,-52.1133
-163.3406,265.8138,-49.70948
-163.5511,267.4696,-46.98666
-164.8277,271.8065,-44.09895
-165.7544,274.8547,-40.71722
-166.2466,276.1325,-39.05238
-167.2328,277.3442,-35.8998
-171.7496,280.4526,-31.35173
-175.2868,282.2155,-29.01896
-178.2945,283.5116,-28.33002
-182.4757,286.0096,-28.38973
-184.4957,286.9309,-28.49475
-188.8811,288.43,-28.79343
-192.6493,288.8179,-28.75703
-195.7792,289.4463,-28.8271
-198.6814,290.7212,-29.1088
-202.0877,293.5111,-29.89456
-203.773,294.821,-30.40804
-210.1585,299.6811,-32.74382
-214.1371,300.1574,-34.28475
-220.4784,300.5175,-39.90578
-224.8849,299.3782,-45.94926
-231.6476,299.0255,-54.06597
-240.9108,298.6463,-63.08113
-250.8153,296.9051,-72.68718
-259.6183,292.5176,-82.18169
-269.3694,287.6214,-92.50636
-274.5351,285.1816,-98.15444
-284.4855,280.0863,-109.634
-289.6036,277.6025,-115.174
-298.5644,271.894,-126.7752
